Step,avid-valley-27 - FID Score,avid-valley-27 - FID Score__MIN,avid-valley-27 - FID Score__MAX,desert-dew-26 - FID Score,desert-dew-26 - FID Score__MIN,desert-dew-26 - FID Score__MAX,fresh-tree-25 - FID Score,fresh-tree-25 - FID Score__MIN,fresh-tree-25 - FID Score__MAX,wild-valley-24 - FID Score,wild-valley-24 - FID Score__MIN,wild-valley-24 - FID Score__MAX,eternal-star-23 - FID Score,eternal-star-23 - FID Score__MIN,eternal-star-23 - FID Score__MAX,denim-flower-17 - FID Score,denim-flower-17 - FID Score__MIN,denim-flower-17 - FID Score__MAX,feasible-glitter-14 - FID Score,feasible-glitter-14 - FID Score__MIN,feasible-glitter-14 - FID Score__MAX,rare-dragon-13 - FID Score,rare-dragon-13 - FID Score__MIN,rare-dragon-13 - FID Score__MAX,rural-hill-12 - FID Score,rural-hill-12 - FID Score__MIN,rural-hill-12 - FID Score__MAX,clean-elevator-11 - FID Score,clean-elevator-11 - FID Score__MIN,clean-elevator-11 - FID Score__MAX
10,53.563615719744085,53.563615719744085,53.563615719744085,51.198653217665196,51.198653217665196,51.198653217665196,50.16555986518976,50.16555986518976,50.16555986518976,50.77726064387762,50.77726064387762,50.77726064387762,52.824273085029986,52.824273085029986,52.824273085029986,57.497636842334,57.497636842334,57.497636842334,49.66905423594211,49.66905423594211,49.66905423594211,50.93168132060396,50.93168132060396,50.93168132060396,49.55455242956343,49.55455242956343,49.55455242956343,50.792022937529126,50.792022937529126,50.792022937529126
11,50.155412471284734,50.155412471284734,50.155412471284734,50.9396260989503,50.9396260989503,50.9396260989503,49.545743074274185,49.545743074274185,49.545743074274185,50.864357021978996,50.864357021978996,50.864357021978996,53.72989092179337,53.72989092179337,53.72989092179337,50.70566833621549,50.70566833621549,50.70566833621549,50.02273795194222,50.02273795194222,50.02273795194222,54.68680244933681,54.68680244933681,54.68680244933681,54.42269074689165,54.42269074689165,54.42269074689165,50.82154220294625,50.82154220294625,50.82154220294625
12,51.27524778265883,51.27524778265883,51.27524778265883,53.91582881674883,53.91582881674883,53.91582881674883,53.33445636652698,53.33445636652698,53.33445636652698,50.69006251824071,50.69006251824071,50.69006251824071,56.51502901723296,56.51502901723296,56.51502901723296,51.24115833079945,51.24115833079945,51.24115833079945,54.00950097201104,54.00950097201104,54.00950097201104,52.86004558620234,52.86004558620234,52.86004558620234,54.838612417715524,54.838612417715524,54.838612417715524,50.286683382306876,50.286683382306876,50.286683382306876
13,48.04986699510607,48.04986699510607,48.04986699510607,51.80540684627039,51.80540684627039,51.80540684627039,51.31248195848147,51.31248195848147,51.31248195848147,51.28970624617346,51.28970624617346,51.28970624617346,54.10712694784352,54.10712694784352,54.10712694784352,48.52028202489868,48.52028202489868,48.52028202489868,52.22910619575522,52.22910619575522,52.22910619575522,51.614431568163155,51.614431568163155,51.614431568163155,55.77177701321649,55.77177701321649,55.77177701321649,50.33862811603435,50.33862811603435,50.33862811603435
14,54.076104735006986,54.076104735006986,54.076104735006986,51.251709337935694,51.251709337935694,51.251709337935694,53.441123173998406,53.441123173998406,53.441123173998406,49.53759716119832,49.53759716119832,49.53759716119832,52.71967144328843,52.71967144328843,52.71967144328843,49.29826886941521,49.29826886941521,49.29826886941521,49.76401091572735,49.76401091572735,49.76401091572735,51.44145147131623,51.44145147131623,51.44145147131623,52.66116565935319,52.66116565935319,52.66116565935319,51.75590289321653,51.75590289321653,51.75590289321653
15,49.132219987509146,49.132219987509146,49.132219987509146,51.86552966217874,51.86552966217874,51.86552966217874,50.926421373686495,50.926421373686495,50.926421373686495,50.666296369508615,50.666296369508615,50.666296369508615,51.327844979591035,51.327844979591035,51.327844979591035,52.46788623167811,52.46788623167811,52.46788623167811,56.587001322340726,56.587001322340726,56.587001322340726,49.34438090015081,49.34438090015081,49.34438090015081,49.67125162725867,49.67125162725867,49.67125162725867,47.56388572612333,47.56388572612333,47.56388572612333
16,49.688560234012826,49.688560234012826,49.688560234012826,49.22211180013136,49.22211180013136,49.22211180013136,52.00212833483818,52.00212833483818,52.00212833483818,51.90701535012872,51.90701535012872,51.90701535012872,54.337650380598475,54.337650380598475,54.337650380598475,53.26025188419599,53.26025188419599,53.26025188419599,48.54307390842318,48.54307390842318,48.54307390842318,56.540387753623804,56.540387753623804,56.540387753623804,51.65252036867294,51.65252036867294,51.65252036867294,48.2987184444098,48.2987184444098,48.2987184444098
17,49.73550935377909,49.73550935377909,49.73550935377909,51.87989582168824,51.87989582168824,51.87989582168824,54.17235559261857,54.17235559261857,54.17235559261857,48.37459169316512,48.37459169316512,48.37459169316512,49.48536727060575,49.48536727060575,49.48536727060575,52.047976865363374,52.047976865363374,52.047976865363374,52.69987301675034,52.69987301675034,52.69987301675034,48.58485346113856,48.58485346113856,48.58485346113856,50.322540009881365,50.322540009881365,50.322540009881365,47.53524333876526,47.53524333876526,47.53524333876526
18,52.004459838298835,52.004459838298835,52.004459838298835,46.74220187772081,46.74220187772081,46.74220187772081,51.03180562976736,51.03180562976736,51.03180562976736,52.31796003189011,52.31796003189011,52.31796003189011,51.33712937693333,51.33712937693333,51.33712937693333,50.60909374550684,50.60909374550684,50.60909374550684,54.55905400294351,54.55905400294351,54.55905400294351,50.474059081604025,50.474059081604025,50.474059081604025,52.46003516404596,52.46003516404596,52.46003516404596,51.675753712738384,51.675753712738384,51.675753712738384
19,52.72708346681394,52.72708346681394,52.72708346681394,49.88542242903026,49.88542242903026,49.88542242903026,51.35955118653696,51.35955118653696,51.35955118653696,51.72599999540858,51.72599999540858,51.72599999540858,52.86289790559503,52.86289790559503,52.86289790559503,51.60986494534666,51.60986494534666,51.60986494534666,49.81900734355537,49.81900734355537,49.81900734355537,56.99221074991955,56.99221074991955,56.99221074991955,54.68710512140157,54.68710512140157,54.68710512140157,51.94079178996543,51.94079178996543,51.94079178996543
20,55.006711562185544,55.006711562185544,55.006711562185544,53.58253045630232,53.58253045630232,53.58253045630232,51.092783390577736,51.092783390577736,51.092783390577736,50.397867938403955,50.397867938403955,50.397867938403955,52.46362255049077,52.46362255049077,52.46362255049077,51.38702763888145,51.38702763888145,51.38702763888145,49.59174119632245,49.59174119632245,49.59174119632245,50.27865093107465,50.27865093107465,50.27865093107465,56.31088469965073,56.31088469965073,56.31088469965073,50.63221313194154,50.63221313194154,50.63221313194154
