Step,denim-morning-29 - FID Score,denim-morning-29 - FID Score__MIN,denim-morning-29 - FID Score__MAX,expert-terrain-28 - FID Score,expert-terrain-28 - FID Score__MIN,expert-terrain-28 - FID Score__MAX,sunny-thunder-27 - FID Score,sunny-thunder-27 - FID Score__MIN,sunny-thunder-27 - FID Score__MAX,misty-field-26 - FID Score,misty-field-26 - FID Score__MIN,misty-field-26 - FID Score__MAX,prime-totem-25 - FID Score,prime-totem-25 - FID Score__MIN,prime-totem-25 - FID Score__MAX,misunderstood-moon-24 - FID Score,misunderstood-moon-24 - FID Score__MIN,misunderstood-moon-24 - FID Score__MAX,misunderstood-tree-23 - FID Score,misunderstood-tree-23 - FID Score__MIN,misunderstood-tree-23 - FID Score__MAX,prime-music-22 - FID Score,prime-music-22 - FID Score__MIN,prime-music-22 - FID Score__MAX,legendary-surf-21 - FID Score,legendary-surf-21 - FID Score__MIN,legendary-surf-21 - FID Score__MAX,clean-sponge-20 - FID Score,clean-sponge-20 - FID Score__MIN,clean-sponge-20 - FID Score__MAX
10,27.515845317742475,27.515845317742475,27.515845317742475,30.670585836426174,30.670585836426174,30.670585836426174,34.95592572282774,34.95592572282774,34.95592572282774,31.11744167261922,31.11744167261922,31.11744167261922,23.369119355554943,23.369119355554943,23.369119355554943,27.373090066444703,27.373090066444703,27.373090066444703,25.943677536126856,25.943677536126856,25.943677536126856,472.81803008839427,472.81803008839427,472.81803008839427,30.208008519306834,30.208008519306834,30.208008519306834,26.36915163444817,26.36915163444817,26.36915163444817
11,26.92859092920434,26.92859092920434,26.92859092920434,36.154554560560854,36.154554560560854,36.154554560560854,30.76616697059451,30.76616697059451,30.76616697059451,30.93391686650287,30.93391686650287,30.93391686650287,29.371707024926263,29.371707024926263,29.371707024926263,22.407197103560065,22.407197103560065,22.407197103560065,27.246685072534078,27.246685072534078,27.246685072534078,54.72650638260401,54.72650638260401,54.72650638260401,28.53690758386874,28.53690758386874,28.53690758386874,32.52732584459886,32.52732584459886,32.52732584459886
12,26.43829244270088,26.43829244270088,26.43829244270088,30.87899060391011,30.87899060391011,30.87899060391011,31.095846954769588,31.095846954769588,31.095846954769588,31.85807244418224,31.85807244418224,31.85807244418224,27.819783211253483,27.819783211253483,27.819783211253483,30.554700997957685,30.554700997957685,30.554700997957685,30.138457304426268,30.138457304426268,30.138457304426268,47.93774220058814,47.93774220058814,47.93774220058814,27.53243681485734,27.53243681485734,27.53243681485734,37.8641774288973,37.8641774288973,37.8641774288973
13,24.814040601758922,24.814040601758922,24.814040601758922,32.72450548931136,32.72450548931136,32.72450548931136,33.146811379871814,33.146811379871814,33.146811379871814,30.984403154848597,30.984403154848597,30.984403154848597,25.31075667863897,25.31075667863897,25.31075667863897,33.234933266367314,33.234933266367314,33.234933266367314,26.828860615587477,26.828860615587477,26.828860615587477,38.74883699740898,38.74883699740898,38.74883699740898,33.247591301237705,33.247591301237705,33.247591301237705,28.759156037316686,28.759156037316686,28.759156037316686
14,23.40934315449564,23.40934315449564,23.40934315449564,32.58233295569762,32.58233295569762,32.58233295569762,33.511682367882585,33.511682367882585,33.511682367882585,30.18558520308528,30.18558520308528,30.18558520308528,27.8467032400588,27.8467032400588,27.8467032400588,29.48200842255562,29.48200842255562,29.48200842255562,28.52187763516436,28.52187763516436,28.52187763516436,30.42484293170122,30.42484293170122,30.42484293170122,36.31681749453916,36.31681749453916,36.31681749453916,27.905955620374456,27.905955620374456,27.905955620374456
15,27.524186978376047,27.524186978376047,27.524186978376047,30.992307422857344,30.992307422857344,30.992307422857344,35.17364387681822,35.17364387681822,35.17364387681822,27.668169331245288,27.668169331245288,27.668169331245288,26.944799776571635,26.944799776571635,26.944799776571635,27.17554963941921,27.17554963941921,27.17554963941921,26.647242384754627,26.647242384754627,26.647242384754627,31.23848567310469,31.23848567310469,31.23848567310469,33.0186451310691,33.0186451310691,33.0186451310691,34.284702645220705,34.284702645220705,34.284702645220705
16,24.949884698835184,24.949884698835184,24.949884698835184,31.408239804377725,31.408239804377725,31.408239804377725,29.19538589631842,29.19538589631842,29.19538589631842,29.878868193586626,29.878868193586626,29.878868193586626,23.98322772794688,23.98322772794688,23.98322772794688,32.75948901132342,32.75948901132342,32.75948901132342,27.418156113666036,27.418156113666036,27.418156113666036,27.26011859708705,27.26011859708705,27.26011859708705,33.10981439593468,33.10981439593468,33.10981439593468,29.12982890214139,29.12982890214139,29.12982890214139
17,29.77080225922878,29.77080225922878,29.77080225922878,29.106009204479136,29.106009204479136,29.106009204479136,35.63901326807627,35.63901326807627,35.63901326807627,38.89655293820888,38.89655293820888,38.89655293820888,29.22321132716998,29.22321132716998,29.22321132716998,28.020787353519797,28.020787353519797,28.020787353519797,29.578476126332866,29.578476126332866,29.578476126332866,27.09265316659337,27.09265316659337,27.09265316659337,31.789723323069083,31.789723323069083,31.789723323069083,31.270335187304887,31.270335187304887,31.270335187304887
18,34.611474227355714,34.611474227355714,34.611474227355714,30.220335891626586,30.220335891626586,30.220335891626586,37.65262356609042,37.65262356609042,37.65262356609042,32.45998309668642,32.45998309668642,32.45998309668642,41.414096821526215,41.414096821526215,41.414096821526215,30.891368855060385,30.891368855060385,30.891368855060385,35.45284116772706,35.45284116772706,35.45284116772706,29.876227696528996,29.876227696528996,29.876227696528996,33.26313996845376,33.26313996845376,33.26313996845376,30.556236134659603,30.556236134659603,30.556236134659603
19,29.81839395135126,29.81839395135126,29.81839395135126,31.11528818474509,31.11528818474509,31.11528818474509,36.11445473760566,36.11445473760566,36.11445473760566,30.798680229217368,30.798680229217368,30.798680229217368,35.113650803760386,35.113650803760386,35.113650803760386,31.46704537614903,31.46704537614903,31.46704537614903,32.53153234373177,32.53153234373177,32.53153234373177,26.99058211421376,26.99058211421376,26.99058211421376,36.54914743553015,36.54914743553015,36.54914743553015,27.73813996000736,27.73813996000736,27.73813996000736
20,29.500490056534694,29.500490056534694,29.500490056534694,34.268465557726,34.268465557726,34.268465557726,34.50712592358693,34.50712592358693,34.50712592358693,31.96388730305171,31.96388730305171,31.96388730305171,29.38500413589537,29.38500413589537,29.38500413589537,33.807294227389825,33.807294227389825,33.807294227389825,31.119784947747107,31.119784947747107,31.119784947747107,27.965899148505727,27.965899148505727,27.965899148505727,38.372998915200355,38.372998915200355,38.372998915200355,33.6783191213916,33.6783191213916,33.6783191213916
21,25.968317588868146,25.968317588868146,25.968317588868146,35.78820571648476,35.78820571648476,35.78820571648476,34.15245810641114,34.15245810641114,34.15245810641114,34.49290049491668,34.49290049491668,34.49290049491668,30.220912818204518,30.220912818204518,30.220912818204518,26.967431663727318,26.967431663727318,26.967431663727318,27.190377312268176,27.190377312268176,27.190377312268176,30.04537631920497,30.04537631920497,30.04537631920497,34.26800422865793,34.26800422865793,34.26800422865793,30.591074850451207,30.591074850451207,30.591074850451207
