Step,warm-tree-25 - FID Score,warm-tree-25 - FID Score__MIN,warm-tree-25 - FID Score__MAX,jolly-bee-24 - FID Score,jolly-bee-24 - FID Score__MIN,jolly-bee-24 - FID Score__MAX,deft-paper-23 - FID Score,deft-paper-23 - FID Score__MIN,deft-paper-23 - FID Score__MAX,solar-river-21 - FID Score,solar-river-21 - FID Score__MIN,solar-river-21 - FID Score__MAX,lunar-meadow-19 - FID Score,lunar-meadow-19 - FID Score__MIN,lunar-meadow-19 - FID Score__MAX,atomic-sun-18 - FID Score,atomic-sun-18 - FID Score__MIN,atomic-sun-18 - FID Score__MAX,ancient-blaze-17 - FID Score,ancient-blaze-17 - FID Score__MIN,ancient-blaze-17 - FID Score__MAX,giddy-pine-15 - FID Score,giddy-pine-15 - FID Score__MIN,giddy-pine-15 - FID Score__MAX,splendid-elevator-14 - FID Score,splendid-elevator-14 - FID Score__MIN,splendid-elevator-14 - FID Score__MAX,serene-morning-13 - FID Score,serene-morning-13 - FID Score__MIN,serene-morning-13 - FID Score__MAX
0,199.56579640691615,199.56579640691615,199.56579640691615,112.79828643788126,112.79828643788126,112.79828643788126,119.59086208136195,119.59086208136195,119.59086208136195,84.09724108336886,84.09724108336886,84.09724108336886,166.31521267590924,166.31521267590924,166.31521267590924,132.09077317213246,132.09077317213246,132.09077317213246,65.87309797016272,65.87309797016272,65.87309797016272,153.11945230023534,153.11945230023534,153.11945230023534,70.13226131350343,70.13226131350343,70.13226131350343,133.90168418659195,133.90168418659195,133.90168418659195
1,157.45972291068028,157.45972291068028,157.45972291068028,36.668976041995506,36.668976041995506,36.668976041995506,133.7599765378291,133.7599765378291,133.7599765378291,196.96712974289994,196.96712974289994,196.96712974289994,215.82090685656408,215.82090685656408,215.82090685656408,85.00004013214362,85.00004013214362,85.00004013214362,88.93422999961503,88.93422999961503,88.93422999961503,330.7781968233488,330.7781968233488,330.7781968233488,348.5498458145085,348.5498458145085,348.5498458145085,303.97679429335494,303.97679429335494,303.97679429335494
2,42.39694858000249,42.39694858000249,42.39694858000249,31.413831516800286,31.413831516800286,31.413831516800286,22.263151966162525,22.263151966162525,22.263151966162525,234.402132244048,234.402132244048,234.402132244048,181.14478423467838,181.14478423467838,181.14478423467838,44.71695523432851,44.71695523432851,44.71695523432851,22.674967808634676,22.674967808634676,22.674967808634676,29.931970208230677,29.931970208230677,29.931970208230677,72.16481144684762,72.16481144684762,72.16481144684762,329.4665337452982,329.4665337452982,329.4665337452982
3,30.206107778172072,30.206107778172072,30.206107778172072,28.29738709357426,28.29738709357426,28.29738709357426,20.91099203922744,20.91099203922744,20.91099203922744,104.69619957723845,104.69619957723845,104.69619957723845,25.854519507811936,25.854519507811936,25.854519507811936,25.587059560095014,25.587059560095014,25.587059560095014,21.60665660476799,21.60665660476799,21.60665660476799,26.37933367767204,26.37933367767204,26.37933367767204,29.021455887796897,29.021455887796897,29.021455887796897,181.02605785557503,181.02605785557503,181.02605785557503
4,27.51881083342012,27.51881083342012,27.51881083342012,25.083335234081975,25.083335234081975,25.083335234081975,18.603595279488417,18.603595279488417,18.603595279488417,33.172028065039775,33.172028065039775,33.172028065039775,23.662090753410588,23.662090753410588,23.662090753410588,24.073502072566995,24.073502072566995,24.073502072566995,20.228284977600012,20.228284977600012,20.228284977600012,21.9753278943339,21.9753278943339,21.9753278943339,23.001283560775768,23.001283560775768,23.001283560775768,103.48096579676427,103.48096579676427,103.48096579676427
5,27.556170436123004,27.556170436123004,27.556170436123004,24.05106383603563,24.05106383603563,24.05106383603563,21.454426479944622,21.454426479944622,21.454426479944622,22.325882801965207,22.325882801965207,22.325882801965207,22.639201791024135,22.639201791024135,22.639201791024135,20.334292733903933,20.334292733903933,20.334292733903933,20.663815515032343,20.663815515032343,20.663815515032343,22.037214867767233,22.037214867767233,22.037214867767233,24.197934957392935,24.197934957392935,24.197934957392935,28.488490592921544,28.488490592921544,28.488490592921544
6,25.21354797483046,25.21354797483046,25.21354797483046,22.785935059996874,22.785935059996874,22.785935059996874,20.273503929083702,20.273503929083702,20.273503929083702,22.50532327408358,22.50532327408358,22.50532327408358,18.58877436511596,18.58877436511596,18.58877436511596,19.377834223702312,19.377834223702312,19.377834223702312,20.376150259971926,20.376150259971926,20.376150259971926,21.80979643306045,21.80979643306045,21.80979643306045,21.767824251864816,21.767824251864816,21.767824251864816,21.78370558848556,21.78370558848556,21.78370558848556
7,27.05177030425159,27.05177030425159,27.05177030425159,23.91038376726979,23.91038376726979,23.91038376726979,19.780047933543155,19.780047933543155,19.780047933543155,21.670874706246316,21.670874706246316,21.670874706246316,19.043856983209736,19.043856983209736,19.043856983209736,19.93259371785004,19.93259371785004,19.93259371785004,17.327183465049007,17.327183465049007,17.327183465049007,21.80189653595381,21.80189653595381,21.80189653595381,20.125445476197633,20.125445476197633,20.125445476197633,25.032401166265267,25.032401166265267,25.032401166265267
8,22.926890074121225,22.926890074121225,22.926890074121225,24.784377323098617,24.784377323098617,24.784377323098617,18.926374047004916,18.926374047004916,18.926374047004916,21.410726365963093,21.410726365963093,21.410726365963093,19.67029121347222,19.67029121347222,19.67029121347222,18.733111056687548,18.733111056687548,18.733111056687548,18.503834408424105,18.503834408424105,18.503834408424105,20.38990930031759,20.38990930031759,20.38990930031759,20.305629632355355,20.305629632355355,20.305629632355355,20.023981435568412,20.023981435568412,20.023981435568412
9,24.354427530389064,24.354427530389064,24.354427530389064,24.561069962253455,24.561069962253455,24.561069962253455,18.54156171073921,18.54156171073921,18.54156171073921,19.41438169042854,19.41438169042854,19.41438169042854,18.936168888268547,18.936168888268547,18.936168888268547,19.655883446186856,19.655883446186856,19.655883446186856,17.164429343264533,17.164429343264533,17.164429343264533,20.530311581011514,20.530311581011514,20.530311581011514,18.6676118222259,18.6676118222259,18.6676118222259,17.88325370367778,17.88325370367778,17.88325370367778
