Step,comic-tree-52 - FID Score,comic-tree-52 - FID Score__MIN,comic-tree-52 - FID Score__MAX,stellar-wood-51 - FID Score,stellar-wood-51 - FID Score__MIN,stellar-wood-51 - FID Score__MAX,frosty-waterfall-50 - FID Score,frosty-waterfall-50 - FID Score__MIN,frosty-waterfall-50 - FID Score__MAX,happy-wind-49 - FID Score,happy-wind-49 - FID Score__MIN,happy-wind-49 - FID Score__MAX,sandy-energy-48 - FID Score,sandy-energy-48 - FID Score__MIN,sandy-energy-48 - FID Score__MAX,lunar-universe-47 - FID Score,lunar-universe-47 - FID Score__MIN,lunar-universe-47 - FID Score__MAX,skilled-fog-46 - FID Score,skilled-fog-46 - FID Score__MIN,skilled-fog-46 - FID Score__MAX,misunderstood-haze-45 - FID Score,misunderstood-haze-45 - FID Score__MIN,misunderstood-haze-45 - FID Score__MAX,honest-pyramid-44 - FID Score,honest-pyramid-44 - FID Score__MIN,honest-pyramid-44 - FID Score__MAX,fresh-dew-43 - FID Score,fresh-dew-43 - FID Score__MIN,fresh-dew-43 - FID Score__MAX
30,75.57879662473938,75.57879662473938,75.57879662473938,80.11879668053561,80.11879668053561,80.11879668053561,79.9201045290479,79.9201045290479,79.9201045290479,80.37366751137286,80.37366751137286,80.37366751137286,77.97423810625033,77.97423810625033,77.97423810625033,81.56106104991602,81.56106104991602,81.56106104991602,79.65180779692996,79.65180779692996,79.65180779692996,78.33418094732968,78.33418094732968,78.33418094732968,78.68961035465409,78.68961035465409,78.68961035465409,77.31278420426594,77.31278420426594,77.31278420426594
31,75.51854322712643,75.51854322712643,75.51854322712643,78.47967742387257,78.47967742387257,78.47967742387257,76.247063572898,76.247063572898,76.247063572898,76.71186061905236,76.71186061905236,76.71186061905236,79.29998692778744,79.29998692778744,79.29998692778744,79.27846089864028,79.27846089864028,79.27846089864028,77.0427908889133,77.0427908889133,77.0427908889133,77.59670064329315,77.59670064329315,77.59670064329315,75.23825062588793,75.23825062588793,75.23825062588793,75.15294136200066,75.15294136200066,75.15294136200066
32,77.10496714730543,77.10496714730543,77.10496714730543,76.55269962752327,76.55269962752327,76.55269962752327,82.2546947659057,82.2546947659057,82.2546947659057,80.51955998590444,80.51955998590444,80.51955998590444,76.33235402483723,76.33235402483723,76.33235402483723,76.68182492038139,76.68182492038139,76.68182492038139,74.0138700062009,74.0138700062009,74.0138700062009,81.00452397518869,81.00452397518869,81.00452397518869,81.87457761219261,81.87457761219261,81.87457761219261,75.52604651321928,75.52604651321928,75.52604651321928
33,76.80190968738022,76.80190968738022,76.80190968738022,80.14379063735906,80.14379063735906,80.14379063735906,77.03480912345248,77.03480912345248,77.03480912345248,79.31424793354213,79.31424793354213,79.31424793354213,74.62700691173744,74.62700691173744,74.62700691173744,78.10515585826815,78.10515585826815,78.10515585826815,78.09071052815491,78.09071052815491,78.09071052815491,77.52012393214818,77.52012393214818,77.52012393214818,76.44281809108303,76.44281809108303,76.44281809108303,77.83894891779015,77.83894891779015,77.83894891779015
34,74.90440258764446,74.90440258764446,74.90440258764446,78.63267687223085,78.63267687223085,78.63267687223085,77.96113749587896,77.96113749587896,77.96113749587896,79.25332995148628,79.25332995148628,79.25332995148628,77.83823712025011,77.83823712025011,77.83823712025011,80.06080749794278,80.06080749794278,80.06080749794278,77.17086276101114,77.17086276101114,77.17086276101114,80.32637876612978,80.32637876612978,80.32637876612978,77.86745395255369,77.86745395255369,77.86745395255369,75.91693633749527,75.91693633749527,75.91693633749527
35,77.69495483112453,77.69495483112453,77.69495483112453,78.02365405097756,78.02365405097756,78.02365405097756,78.60410119640443,78.60410119640443,78.60410119640443,77.02624349264553,77.02624349264553,77.02624349264553,78.94250988211569,78.94250988211569,78.94250988211569,78.8754662926869,78.8754662926869,78.8754662926869,78.53661819507973,78.53661819507973,78.53661819507973,75.06808958678764,75.06808958678764,75.06808958678764,76.98766450332519,76.98766450332519,76.98766450332519,78.81097003504654,78.81097003504654,78.81097003504654
36,78.3989523059888,78.3989523059888,78.3989523059888,78.34931526859566,78.34931526859566,78.34931526859566,77.95874806666949,77.95874806666949,77.95874806666949,73.96027287184786,73.96027287184786,73.96027287184786,76.91866239357445,76.91866239357445,76.91866239357445,80.55941968425276,80.55941968425276,80.55941968425276,77.91963169422321,77.91963169422321,77.91963169422321,77.8944437731836,77.8944437731836,77.8944437731836,77.65313518740368,77.65313518740368,77.65313518740368,78.65651678706637,78.65651678706637,78.65651678706637
37,83.59773093023833,83.59773093023833,83.59773093023833,75.62908563523493,75.62908563523493,75.62908563523493,79.5942648004211,79.5942648004211,79.5942648004211,80.65445494511982,80.65445494511982,80.65445494511982,77.77907713366774,77.77907713366774,77.77907713366774,79.6970076835272,79.6970076835272,79.6970076835272,78.655350227127,78.655350227127,78.655350227127,77.99053761102891,77.99053761102891,77.99053761102891,76.09685034069864,76.09685034069864,76.09685034069864,75.71044803576729,75.71044803576729,75.71044803576729
38,79.04458324940242,79.04458324940242,79.04458324940242,76.29594146882911,76.29594146882911,76.29594146882911,77.57667891049778,77.57667891049778,77.57667891049778,79.76886314255457,79.76886314255457,79.76886314255457,73.98075127365007,73.98075127365007,73.98075127365007,79.90680119515568,79.90680119515568,79.90680119515568,76.74096122926136,76.74096122926136,76.74096122926136,76.70742265449019,76.70742265449019,76.70742265449019,73.27921250810192,73.27921250810192,73.27921250810192,77.28831846097887,77.28831846097887,77.28831846097887
39,78.16895889984829,78.16895889984829,78.16895889984829,79.63580896529933,79.63580896529933,79.63580896529933,78.78113279467695,78.78113279467695,78.78113279467695,78.67990901553219,78.67990901553219,78.67990901553219,76.44714256895953,76.44714256895953,76.44714256895953,73.58738528104821,73.58738528104821,73.58738528104821,77.40383567624588,77.40383567624588,77.40383567624588,80.7043620399464,80.7043620399464,80.7043620399464,75.42806779309748,75.42806779309748,75.42806779309748,73.85968579889541,73.85968579889541,73.85968579889541
40,79.18717931155751,79.18717931155751,79.18717931155751,78.72500775940746,78.72500775940746,78.72500775940746,77.78035060714042,77.78035060714042,77.78035060714042,75.94375438845444,75.94375438845444,75.94375438845444,78.55302267101521,78.55302267101521,78.55302267101521,76.63120663692865,76.63120663692865,76.63120663692865,77.4738492229731,77.4738492229731,77.4738492229731,80.93976129735012,80.93976129735012,80.93976129735012,79.08451594459534,79.08451594459534,79.08451594459534,76.20302053876131,76.20302053876131,76.20302053876131
41,78.43098705210741,78.43098705210741,78.43098705210741,77.6306079004213,77.6306079004213,77.6306079004213,78.91302313061504,78.91302313061504,78.91302313061504,77.9789104225577,77.9789104225577,77.9789104225577,76.57659418812872,76.57659418812872,76.57659418812872,80.11193089269514,80.11193089269514,80.11193089269514,79.83049224001917,79.83049224001917,79.83049224001917,74.72661559405438,74.72661559405438,74.72661559405438,76.05637715820363,76.05637715820363,76.05637715820363,77.3199416274991,77.3199416274991,77.3199416274991
42,77.90309167192753,77.90309167192753,77.90309167192753,76.98363637459406,76.98363637459406,76.98363637459406,79.18508978271848,79.18508978271848,79.18508978271848,79.34159032259977,79.34159032259977,79.34159032259977,74.02981337667765,74.02981337667765,74.02981337667765,77.76810351523254,77.76810351523254,77.76810351523254,73.60467741947159,73.60467741947159,73.60467741947159,77.31159398328583,77.31159398328583,77.31159398328583,78.57826057951432,78.57826057951432,78.57826057951432,75.0901217282805,75.0901217282805,75.0901217282805
43,78.6669835673564,78.6669835673564,78.6669835673564,76.96801802686207,76.96801802686207,76.96801802686207,78.9384371952918,78.9384371952918,78.9384371952918,76.69096277903081,76.69096277903081,76.69096277903081,73.6472067031193,73.6472067031193,73.6472067031193,77.84659773683727,77.84659773683727,77.84659773683727,76.10167912463626,76.10167912463626,76.10167912463626,80.98792762150003,80.98792762150003,80.98792762150003,78.64009598061548,78.64009598061548,78.64009598061548,76.38929645208844,76.38929645208844,76.38929645208844
44,79.58474598491883,79.58474598491883,79.58474598491883,78.14212479260335,78.14212479260335,78.14212479260335,75.83629499699045,75.83629499699045,75.83629499699045,78.76606869172205,78.76606869172205,78.76606869172205,81.45811933740897,81.45811933740897,81.45811933740897,76.40938723666797,76.40938723666797,76.40938723666797,75.40610662261687,75.40610662261687,75.40610662261687,78.46687766041835,78.46687766041835,78.46687766041835,75.22264702151402,75.22264702151402,75.22264702151402,78.75364835418333,78.75364835418333,78.75364835418333
45,75.70524396358736,75.70524396358736,75.70524396358736,77.36673600464349,77.36673600464349,77.36673600464349,75.76549150737117,75.76549150737117,75.76549150737117,80.70091046170612,80.70091046170612,80.70091046170612,83.84096944849098,83.84096944849098,83.84096944849098,76.86890193188756,76.86890193188756,76.86890193188756,76.81641691569635,76.81641691569635,76.81641691569635,75.54228769679753,75.54228769679753,75.54228769679753,77.05721836261291,77.05721836261291,77.05721836261291,75.46117091973048,75.46117091973048,75.46117091973048
46,79.41557971113409,79.41557971113409,79.41557971113409,79.60921977156212,79.60921977156212,79.60921977156212,79.54926219745428,79.54926219745428,79.54926219745428,76.3823883175869,76.3823883175869,76.3823883175869,80.6412258382603,80.6412258382603,80.6412258382603,78.03820476846056,78.03820476846056,78.03820476846056,76.41581947726235,76.41581947726235,76.41581947726235,74.86337483196746,74.86337483196746,74.86337483196746,75.91536799298127,75.91536799298127,75.91536799298127,75.98572932387546,75.98572932387546,75.98572932387546
47,78.5562876195718,78.5562876195718,78.5562876195718,77.18248769068632,77.18248769068632,77.18248769068632,75.75162896781742,75.75162896781742,75.75162896781742,76.62221776511865,76.62221776511865,76.62221776511865,72.82336783486659,72.82336783486659,72.82336783486659,81.24304067492193,81.24304067492193,81.24304067492193,76.21155486055383,76.21155486055383,76.21155486055383,79.91953324018816,79.91953324018816,79.91953324018816,78.07693416914924,78.07693416914924,78.07693416914924,75.95152519209488,75.95152519209488,75.95152519209488
48,77.71007179031177,77.71007179031177,77.71007179031177,79.61081088297735,79.61081088297735,79.61081088297735,78.67587524188616,78.67587524188616,78.67587524188616,77.87839910108968,77.87839910108968,77.87839910108968,79.2951827864394,79.2951827864394,79.2951827864394,80.59846735694741,80.59846735694741,80.59846735694741,79.57764032979877,79.57764032979877,79.57764032979877,75.95034220548501,75.95034220548501,75.95034220548501,74.59637134608488,74.59637134608488,74.59637134608488,76.04192294894239,76.04192294894239,76.04192294894239
49,77.17510910346064,77.17510910346064,77.17510910346064,77.1486106154403,77.1486106154403,77.1486106154403,80.98664783910833,80.98664783910833,80.98664783910833,80.13104071455562,80.13104071455562,80.13104071455562,75.280420813935,75.280420813935,75.280420813935,81.7313478776742,81.7313478776742,81.7313478776742,78.61191811511506,78.61191811511506,78.61191811511506,78.79717102914859,78.79717102914859,78.79717102914859,74.93689826586179,74.93689826586179,74.93689826586179,77.18753091843979,77.18753091843979,77.18753091843979
