Step,colorful-cherry-71 - FID Score,colorful-cherry-71 - FID Score__MIN,colorful-cherry-71 - FID Score__MAX,peach-shadow-70 - FID Score,peach-shadow-70 - FID Score__MIN,peach-shadow-70 - FID Score__MAX,jumping-shadow-69 - FID Score,jumping-shadow-69 - FID Score__MIN,jumping-shadow-69 - FID Score__MAX,whole-disco-68 - FID Score,whole-disco-68 - FID Score__MIN,whole-disco-68 - FID Score__MAX,fragrant-mountain-67 - FID Score,fragrant-mountain-67 - FID Score__MIN,fragrant-mountain-67 - FID Score__MAX,ancient-microwave-66 - FID Score,ancient-microwave-66 - FID Score__MIN,ancient-microwave-66 - FID Score__MAX,efficient-universe-65 - FID Score,efficient-universe-65 - FID Score__MIN,efficient-universe-65 - FID Score__MAX,usual-bird-64 - FID Score,usual-bird-64 - FID Score__MIN,usual-bird-64 - FID Score__MAX,neat-voice-63 - FID Score,neat-voice-63 - FID Score__MIN,neat-voice-63 - FID Score__MAX,pretty-aardvark-62 - FID Score,pretty-aardvark-62 - FID Score__MIN,pretty-aardvark-62 - FID Score__MAX
10,81.84273733829033,81.84273733829033,81.84273733829033,81.68737777991767,81.68737777991767,81.68737777991767,84.16493558051587,84.16493558051587,84.16493558051587,79.17153332212237,79.17153332212237,79.17153332212237,80.17248052026935,80.17248052026935,80.17248052026935,80.9710701112077,80.9710701112077,80.9710701112077,79.52867308094795,79.52867308094795,79.52867308094795,77.41020086815189,77.41020086815189,77.41020086815189,80.37336990653765,80.37336990653765,80.37336990653765,81.00648470882808,81.00648470882808,81.00648470882808
11,79.73628476885327,79.73628476885327,79.73628476885327,76.21227444103346,76.21227444103346,76.21227444103346,79.4077309963806,79.4077309963806,79.4077309963806,78.42505580081877,78.42505580081877,78.42505580081877,78.63890009823028,78.63890009823028,78.63890009823028,80.01617583272586,80.01617583272586,80.01617583272586,78.58581162374239,78.58581162374239,78.58581162374239,78.65817908890187,78.65817908890187,78.65817908890187,82.33833381342889,82.33833381342889,82.33833381342889,80.90781827559816,80.90781827559816,80.90781827559816
12,80.79098487518723,80.79098487518723,80.79098487518723,85.52971773050102,85.52971773050102,85.52971773050102,76.8476953361215,76.8476953361215,76.8476953361215,81.44252356798565,81.44252356798565,81.44252356798565,79.55360456816393,79.55360456816393,79.55360456816393,80.97421408030624,80.97421408030624,80.97421408030624,76.19372014842205,76.19372014842205,76.19372014842205,77.52080216815554,77.52080216815554,77.52080216815554,84.95561694641461,84.95561694641461,84.95561694641461,84.39327997993823,84.39327997993823,84.39327997993823
13,80.36214697403155,80.36214697403155,80.36214697403155,80.9972916724933,80.9972916724933,80.9972916724933,78.54022719502817,78.54022719502817,78.54022719502817,83.10428967990468,83.10428967990468,83.10428967990468,80.48553362963195,80.48553362963195,80.48553362963195,78.93290230003349,78.93290230003349,78.93290230003349,78.79588758742786,78.79588758742786,78.79588758742786,78.08155581094421,78.08155581094421,78.08155581094421,79.1396300257696,79.1396300257696,79.1396300257696,78.74853438128785,78.74853438128785,78.74853438128785
14,81.040216121027,81.040216121027,81.040216121027,78.34056998787099,78.34056998787099,78.34056998787099,74.93382987705576,74.93382987705576,74.93382987705576,78.45488789057296,78.45488789057296,78.45488789057296,77.69745760654108,77.69745760654108,77.69745760654108,77.03135639479996,77.03135639479996,77.03135639479996,77.98672131410504,77.98672131410504,77.98672131410504,76.64091299417927,76.64091299417927,76.64091299417927,76.23563803478653,76.23563803478653,76.23563803478653,77.83900917222664,77.83900917222664,77.83900917222664
15,77.33831148224886,77.33831148224886,77.33831148224886,77.17824424220763,77.17824424220763,77.17824424220763,75.44981929443563,75.44981929443563,75.44981929443563,78.96469077377199,78.96469077377199,78.96469077377199,79.54424637973099,79.54424637973099,79.54424637973099,75.7144620877861,75.7144620877861,75.7144620877861,79.28433955314631,79.28433955314631,79.28433955314631,78.10831379116053,78.10831379116053,78.10831379116053,79.910775152761,79.910775152761,79.910775152761,77.25872031591898,77.25872031591898,77.25872031591898
16,77.41671826649426,77.41671826649426,77.41671826649426,83.1569865873964,83.1569865873964,83.1569865873964,78.99151890712743,78.99151890712743,78.99151890712743,77.04718743630912,77.04718743630912,77.04718743630912,77.65959390197278,77.65959390197278,77.65959390197278,76.88300065247162,76.88300065247162,76.88300065247162,75.48747187495047,75.48747187495047,75.48747187495047,79.37062392199226,79.37062392199226,79.37062392199226,78.77708994062118,78.77708994062118,78.77708994062118,83.36580023625334,83.36580023625334,83.36580023625334
17,79.9281608152616,79.9281608152616,79.9281608152616,77.09954369481429,77.09954369481429,77.09954369481429,75.43190327247585,75.43190327247585,75.43190327247585,74.293055891176,74.293055891176,74.293055891176,76.67796828459453,76.67796828459453,76.67796828459453,75.0615706166464,75.0615706166464,75.0615706166464,79.79946363121076,79.79946363121076,79.79946363121076,78.07499554484299,78.07499554484299,78.07499554484299,80.06323990012075,80.06323990012075,80.06323990012075,74.52546498049934,74.52546498049934,74.52546498049934
18,78.81004131179769,78.81004131179769,78.81004131179769,74.94725650358987,74.94725650358987,74.94725650358987,75.21047172357217,75.21047172357217,75.21047172357217,75.37818046886288,75.37818046886288,75.37818046886288,80.17024803959752,80.17024803959752,80.17024803959752,78.65935622601616,78.65935622601616,78.65935622601616,76.85848365571442,76.85848365571442,76.85848365571442,76.84094309435831,76.84094309435831,76.84094309435831,75.10687537260756,75.10687537260756,75.10687537260756,76.09588364248663,76.09588364248663,76.09588364248663
19,78.11268968799504,78.11268968799504,78.11268968799504,79.8871398801995,79.8871398801995,79.8871398801995,78.61809404381455,78.61809404381455,78.61809404381455,74.86049526803534,74.86049526803534,74.86049526803534,78.38180996530816,78.38180996530816,78.38180996530816,79.12468901935893,79.12468901935893,79.12468901935893,77.39562804302771,77.39562804302771,77.39562804302771,77.10277311742335,77.10277311742335,77.10277311742335,78.46606719525222,78.46606719525222,78.46606719525222,76.84352621150548,76.84352621150548,76.84352621150548
20,76.42057785311339,76.42057785311339,76.42057785311339,74.03381338342548,74.03381338342548,74.03381338342548,78.45994626621263,78.45994626621263,78.45994626621263,78.78014657772566,78.78014657772566,78.78014657772566,76.17510120518443,76.17510120518443,76.17510120518443,77.93346510298605,77.93346510298605,77.93346510298605,74.47205693656272,74.47205693656272,74.47205693656272,80.73142680851754,80.73142680851754,80.73142680851754,74.87414218224464,74.87414218224464,74.87414218224464,79.82079742435515,79.82079742435515,79.82079742435515
21,80.35400047552582,80.35400047552582,80.35400047552582,73.1157009019693,73.1157009019693,73.1157009019693,73.54860247036284,73.54860247036284,73.54860247036284,78.79101575334954,78.79101575334954,78.79101575334954,76.00450058034369,76.00450058034369,76.00450058034369,77.34852318790584,77.34852318790584,77.34852318790584,76.4003847793511,76.4003847793511,76.4003847793511,77.18445583766933,77.18445583766933,77.18445583766933,75.70870813218357,75.70870813218357,75.70870813218357,74.61271100604232,74.61271100604232,74.61271100604232
22,74.80794752405802,74.80794752405802,74.80794752405802,78.27616932406475,78.27616932406475,78.27616932406475,74.44256553149913,74.44256553149913,74.44256553149913,77.45227887011609,77.45227887011609,77.45227887011609,72.76203624661011,72.76203624661011,72.76203624661011,77.00908218330531,77.00908218330531,77.00908218330531,77.83430969232614,77.83430969232614,77.83430969232614,73.736770394856,73.736770394856,73.736770394856,76.28947834948605,76.28947834948605,76.28947834948605,75.69316900359594,75.69316900359594,75.69316900359594
