"Step","ruby-donkey-21 - FID Score","ruby-donkey-21 - FID Score__MIN","ruby-donkey-21 - FID Score__MAX","misunderstood-plant-20 - FID Score","misunderstood-plant-20 - FID Score__MIN","misunderstood-plant-20 - FID Score__MAX","fresh-morning-19 - FID Score","fresh-morning-19 - FID Score__MIN","fresh-morning-19 - FID Score__MAX","sunny-grass-18 - FID Score","sunny-grass-18 - FID Score__MIN","sunny-grass-18 - FID Score__MAX","lemon-grass-17 - FID Score","lemon-grass-17 - FID Score__MIN","lemon-grass-17 - FID Score__MAX","wandering-hill-16 - FID Score","wandering-hill-16 - FID Score__MIN","wandering-hill-16 - FID Score__MAX","swept-rain-15 - FID Score","swept-rain-15 - FID Score__MIN","swept-rain-15 - FID Score__MAX","cosmic-forest-14 - FID Score","cosmic-forest-14 - FID Score__MIN","cosmic-forest-14 - FID Score__MAX","misty-smoke-13 - FID Score","misty-smoke-13 - FID Score__MIN","misty-smoke-13 - FID Score__MAX","earnest-plant-12 - FID Score","earnest-plant-12 - FID Score__MIN","earnest-plant-12 - FID Score__MAX"
"10","14.53488652887329","14.53488652887329","14.53488652887329","15.766058550939274","15.766058550939274","15.766058550939274","14.645094268357688","14.645094268357688","14.645094268357688","14.376128188122744","14.376128188122744","14.376128188122744","14.737852592743621","14.737852592743621","14.737852592743621","15.622823301891437","15.622823301891437","15.622823301891437","14.66108369111965","14.66108369111965","14.66108369111965","15.673350046025611","15.673350046025611","15.673350046025611","14.488429216913124","14.488429216913124","14.488429216913124","14.598121250552524","14.598121250552524","14.598121250552524"
"11","14.460458030461867","14.460458030461867","14.460458030461867","14.548322947203227","14.548322947203227","14.548322947203227","14.608930252381017","14.608930252381017","14.608930252381017","15.08805945558391","15.08805945558391","15.08805945558391","15.330405440115932","15.330405440115932","15.330405440115932","15.486092810466758","15.486092810466758","15.486092810466758","16.09982444795735","16.09982444795735","16.09982444795735","15.492484169492542","15.492484169492542","15.492484169492542","14.319526953892854","14.319526953892854","14.319526953892854","16.55343527051606","16.55343527051606","16.55343527051606"
"12","14.998920829696138","14.998920829696138","14.998920829696138","14.580626648165435","14.580626648165435","14.580626648165435","13.77143006152795","13.77143006152795","13.77143006152795","15.933985542519892","15.933985542519892","15.933985542519892","14.841790896768089","14.841790896768089","14.841790896768089","15.94937252028985","15.94937252028985","15.94937252028985","14.264498023915252","14.264498023915252","14.264498023915252","15.183267480003009","15.183267480003009","15.183267480003009","14.596231621461513","14.596231621461513","14.596231621461513","15.363269544044122","15.363269544044122","15.363269544044122"
"13","14.929733960353287","14.929733960353287","14.929733960353287","14.386407992100192","14.386407992100192","14.386407992100192","14.066481585508319","14.066481585508319","14.066481585508319","15.268089824393453","15.268089824393453","15.268089824393453","13.936101886176736","13.936101886176736","13.936101886176736","15.349116773511344","15.349116773511344","15.349116773511344","15.29299821272602","15.29299821272602","15.29299821272602","14.688653458035006","14.688653458035006","14.688653458035006","15.472223181841676","15.472223181841676","15.472223181841676","16.68853344541484","16.68853344541484","16.68853344541484"
"14","15.395139086628271","15.395139086628271","15.395139086628271","14.869034207040833","14.869034207040833","14.869034207040833","14.348447428522213","14.348447428522213","14.348447428522213","15.760767078034586","15.760767078034586","15.760767078034586","14.263469235649065","14.263469235649065","14.263469235649065","16.840421044514642","16.840421044514642","16.840421044514642","14.036850557764199","14.036850557764199","14.036850557764199","15.046722802729414","15.046722802729414","15.046722802729414","15.551963383119503","15.551963383119503","15.551963383119503","15.573340967899865","15.573340967899865","15.573340967899865"
"15","15.63352768089953","15.63352768089953","15.63352768089953","16.73620120899553","16.73620120899553","16.73620120899553","15.798319307939973","15.798319307939973","15.798319307939973","15.422817924454883","15.422817924454883","15.422817924454883","15.22699219092836","15.22699219092836","15.22699219092836","15.63585665418443","15.63585665418443","15.63585665418443","16.6721903180256","16.6721903180256","16.6721903180256","16.36233980911264","16.36233980911264","16.36233980911264","14.776981800522648","14.776981800522648","14.776981800522648","14.357064891057062","14.357064891057062","14.357064891057062"
"16","14.744086725113052","14.744086725113052","14.744086725113052","15.771828312546202","15.771828312546202","15.771828312546202","14.624796560688475","14.624796560688475","14.624796560688475","14.160654537560532","14.160654537560532","14.160654537560532","15.10564134936621","15.10564134936621","15.10564134936621","13.83350157168449","13.83350157168449","13.83350157168449","14.276436036858957","14.276436036858957","14.276436036858957","15.875527600181307","15.875527600181307","15.875527600181307","16.24879061424633","16.24879061424633","16.24879061424633","14.668849178551337","14.668849178551337","14.668849178551337"
"17","14.37112886979925","14.37112886979925","14.37112886979925","14.547387803858246","14.547387803858246","14.547387803858246","14.695448978426262","14.695448978426262","14.695448978426262","16.02669261420603","16.02669261420603","16.02669261420603","15.722905737641671","15.722905737641671","15.722905737641671","14.80598009255455","14.80598009255455","14.80598009255455","15.149200600326031","15.149200600326031","15.149200600326031","16.273734946118076","16.273734946118076","16.273734946118076","15.943552281198684","15.943552281198684","15.943552281198684","13.72576114607412","13.72576114607412","13.72576114607412"
"18","13.923300005999618","13.923300005999618","13.923300005999618","16.039641820421927","16.039641820421927","16.039641820421927","16.78069450039856","16.78069450039856","16.78069450039856","14.062935979729847","14.062935979729847","14.062935979729847","14.559460480224146","14.559460480224146","14.559460480224146","16.46999173164434","16.46999173164434","16.46999173164434","14.096101831001551","14.096101831001551","14.096101831001551","14.757607842399747","14.757607842399747","14.757607842399747","16.10792364531655","16.10792364531655","16.10792364531655","16.12057184685763","16.12057184685763","16.12057184685763"
"19","15.7676790498602","15.7676790498602","15.7676790498602","14.557239289432292","14.557239289432292","14.557239289432292","13.97881514459933","13.97881514459933","13.97881514459933","15.024821784724432","15.024821784724432","15.024821784724432","15.489965402701047","15.489965402701047","15.489965402701047","14.781623285333108","14.781623285333108","14.781623285333108","14.315333933610972","14.315333933610972","14.315333933610972","13.973548429225456","13.973548429225456","13.973548429225456","16.650913721306672","16.650913721306672","16.650913721306672","14.215611906050569","14.215611906050569","14.215611906050569"
