Step,dark-lake-52 - FID Score,dark-lake-52 - FID Score__MIN,dark-lake-52 - FID Score__MAX,usual-river-51 - FID Score,usual-river-51 - FID Score__MIN,usual-river-51 - FID Score__MAX,deep-dew-50 - FID Score,deep-dew-50 - FID Score__MIN,deep-dew-50 - FID Score__MAX,unique-wind-49 - FID Score,unique-wind-49 - FID Score__MIN,unique-wind-49 - FID Score__MAX,flowing-yogurt-48 - FID Score,flowing-yogurt-48 - FID Score__MIN,flowing-yogurt-48 - FID Score__MAX,effortless-durian-47 - FID Score,effortless-durian-47 - FID Score__MIN,effortless-durian-47 - FID Score__MAX,fallen-lion-46 - FID Score,fallen-lion-46 - FID Score__MIN,fallen-lion-46 - FID Score__MAX,efficient-flower-45 - FID Score,efficient-flower-45 - FID Score__MIN,efficient-flower-45 - FID Score__MAX,major-eon-44 - FID Score,major-eon-44 - FID Score__MIN,major-eon-44 - FID Score__MAX,frosty-glade-43 - FID Score,frosty-glade-43 - FID Score__MIN,frosty-glade-43 - FID Score__MAX
12,20.3777696626874,20.3777696626874,20.3777696626874,21.42158933258449,21.42158933258449,21.42158933258449,20.40797051800567,20.40797051800567,20.40797051800567,21.04821196586686,21.04821196586686,21.04821196586686,20.951123782729066,20.951123782729066,20.951123782729066,20.85770298639112,20.85770298639112,20.85770298639112,19.32933320537022,19.32933320537022,19.32933320537022,23.460973336108218,23.460973336108218,23.460973336108218,21.211765013008325,21.211765013008325,21.211765013008325,20.730627531439822,20.730627531439822,20.730627531439822
13,19.02618652464789,19.02618652464789,19.02618652464789,23.087161944642435,23.087161944642435,23.087161944642435,21.94387693229902,21.94387693229902,21.94387693229902,19.11747902496031,19.11747902496031,19.11747902496031,23.03469117374115,23.03469117374115,23.03469117374115,20.429706857569037,20.429706857569037,20.429706857569037,20.007438097015786,20.007438097015786,20.007438097015786,21.65538066766974,21.65538066766974,21.65538066766974,19.679740910233434,19.679740910233434,19.679740910233434,19.21164671805049,19.21164671805049,19.21164671805049
14,19.611609323782506,19.611609323782506,19.611609323782506,18.87877426773248,18.87877426773248,18.87877426773248,21.57771183675394,21.57771183675394,21.57771183675394,22.71187791422609,22.71187791422609,22.71187791422609,19.855040983034385,19.855040983034385,19.855040983034385,19.624401276493934,19.624401276493934,19.624401276493934,20.608218576945134,20.608218576945134,20.608218576945134,22.752829757991943,22.752829757991943,22.752829757991943,20.22083324189232,20.22083324189232,20.22083324189232,21.6128952339001,21.6128952339001,21.6128952339001
15,19.608563613407025,19.608563613407025,19.608563613407025,22.903850996010327,22.903850996010327,22.903850996010327,21.007788777044198,21.007788777044198,21.007788777044198,20.93068646010685,20.93068646010685,20.93068646010685,19.826471018878323,19.826471018878323,19.826471018878323,21.46098397782827,21.46098397782827,21.46098397782827,19.03229949772553,19.03229949772553,19.03229949772553,18.999726102414627,18.999726102414627,18.999726102414627,20.92261042481037,20.92261042481037,20.92261042481037,19.019834949650267,19.019834949650267,19.019834949650267
16,22.548040998572667,22.548040998572667,22.548040998572667,20.997953816229053,20.997953816229053,20.997953816229053,19.977068170967847,19.977068170967847,19.977068170967847,19.986954485077966,19.986954485077966,19.986954485077966,19.59022039045178,19.59022039045178,19.59022039045178,23.956857901516393,23.956857901516393,23.956857901516393,22.491967184471257,22.491967184471257,22.491967184471257,20.848174498522873,20.848174498522873,20.848174498522873,19.145248471194975,19.145248471194975,19.145248471194975,20.33833021203573,20.33833021203573,20.33833021203573
17,21.879128634397993,21.879128634397993,21.879128634397993,20.71314360117377,20.71314360117377,20.71314360117377,18.794279507722273,18.794279507722273,18.794279507722273,20.261134034474523,20.261134034474523,20.261134034474523,23.85285458076168,23.85285458076168,23.85285458076168,24.041613399183444,24.041613399183444,24.041613399183444,20.417126599153626,20.417126599153626,20.417126599153626,21.878987670838193,21.878987670838193,21.878987670838193,21.220265670797023,21.220265670797023,21.220265670797023,20.38898885462379,20.38898885462379,20.38898885462379
18,19.76536737110149,19.76536737110149,19.76536737110149,21.475537698630877,21.475537698630877,21.475537698630877,19.966965048524553,19.966965048524553,19.966965048524553,21.467319574099093,21.467319574099093,21.467319574099093,20.897216550163165,20.897216550163165,20.897216550163165,20.262873685005655,20.262873685005655,20.262873685005655,19.310844354862603,19.310844354862603,19.310844354862603,21.918011449760343,21.918011449760343,21.918011449760343,21.876959058700272,21.876959058700272,21.876959058700272,24.257953360411634,24.257953360411634,24.257953360411634
19,21.269609942391163,21.269609942391163,21.269609942391163,18.841198781131354,18.841198781131354,18.841198781131354,20.991268725550846,20.991268725550846,20.991268725550846,19.36012028091672,19.36012028091672,19.36012028091672,18.958219129133347,18.958219129133347,18.958219129133347,18.83144343044404,18.83144343044404,18.83144343044404,21.03991713304004,21.03991713304004,21.03991713304004,19.93225065926505,19.93225065926505,19.93225065926505,24.654354994168934,24.654354994168934,24.654354994168934,19.360666933030053,19.360666933030053,19.360666933030053
20,20.409181149661748,20.409181149661748,20.409181149661748,21.741797779300576,21.741797779300576,21.741797779300576,21.241788724226097,21.241788724226097,21.241788724226097,22.505403785190634,22.505403785190634,22.505403785190634,20.919180552010097,20.919180552010097,20.919180552010097,20.675977026144444,20.675977026144444,20.675977026144444,21.98552715912802,21.98552715912802,21.98552715912802,20.523547555614165,20.523547555614165,20.523547555614165,20.712683171188992,20.712683171188992,20.712683171188992,20.08412027547846,20.08412027547846,20.08412027547846
21,20.40173558578669,20.40173558578669,20.40173558578669,18.8271235254591,18.8271235254591,18.8271235254591,21.953483009722564,21.953483009722564,21.953483009722564,20.721431891929626,20.721431891929626,20.721431891929626,20.04619025340236,20.04619025340236,20.04619025340236,20.731384646803022,20.731384646803022,20.731384646803022,21.07086790451137,21.07086790451137,21.07086790451137,20.593223527377518,20.593223527377518,20.593223527377518,19.935280822126273,19.935280822126273,19.935280822126273,19.350812909543045,19.350812909543045,19.350812909543045
