Step,elated-aardvark-15 - FID Score,elated-aardvark-15 - FID Score__MIN,elated-aardvark-15 - FID Score__MAX,true-spaceship-14 - FID Score,true-spaceship-14 - FID Score__MIN,true-spaceship-14 - FID Score__MAX,quiet-firebrand-13 - FID Score,quiet-firebrand-13 - FID Score__MIN,quiet-firebrand-13 - FID Score__MAX,proud-spaceship-12 - FID Score,proud-spaceship-12 - FID Score__MIN,proud-spaceship-12 - FID Score__MAX,vivid-water-11 - FID Score,vivid-water-11 - FID Score__MIN,vivid-water-11 - FID Score__MAX,deep-wave-10 - FID Score,deep-wave-10 - FID Score__MIN,deep-wave-10 - FID Score__MAX,exalted-dew-8 - FID Score,exalted-dew-8 - FID Score__MIN,exalted-dew-8 - FID Score__MAX,woven-donkey-4 - FID Score,woven-donkey-4 - FID Score__MIN,woven-donkey-4 - FID Score__MAX,hardy-dawn-3 - FID Score,hardy-dawn-3 - FID Score__MIN,hardy-dawn-3 - FID Score__MAX,classic-salad-2 - FID Score,classic-salad-2 - FID Score__MIN,classic-salad-2 - FID Score__MAX
10,62.30417619772312,62.30417619772312,62.30417619772312,58.76958776717542,58.76958776717542,58.76958776717542,75.27818847003627,75.27818847003627,75.27818847003627,62.140341137812456,62.140341137812456,62.140341137812456,57.670762417911874,57.670762417911874,57.670762417911874,54.93667867372429,54.93667867372429,54.93667867372429,61.607201078163044,61.607201078163044,61.607201078163044,59.85242839022881,59.85242839022881,59.85242839022881,67.45434575432198,67.45434575432198,67.45434575432198,62.17391095673228,62.17391095673228,62.17391095673228
11,60.301300302230445,60.301300302230445,60.301300302230445,55.49630510218853,55.49630510218853,55.49630510218853,72.66966457719494,72.66966457719494,72.66966457719494,76.25728542495321,76.25728542495321,76.25728542495321,62.69473297477933,62.69473297477933,62.69473297477933,60.87754779294363,60.87754779294363,60.87754779294363,61.36250374336011,61.36250374336011,61.36250374336011,88.75466336742232,88.75466336742232,88.75466336742232,77.6139247826996,77.6139247826996,77.6139247826996,56.70864326732142,56.70864326732142,56.70864326732142
12,59.548101631169175,59.548101631169175,59.548101631169175,55.526520267107585,55.526520267107585,55.526520267107585,79.97269509506042,79.97269509506042,79.97269509506042,52.76731508942249,52.76731508942249,52.76731508942249,59.82823920184872,59.82823920184872,59.82823920184872,54.615834946717705,54.615834946717705,54.615834946717705,57.14474404575058,57.14474404575058,57.14474404575058,61.56589217572149,61.56589217572149,61.56589217572149,61.863036130030125,61.863036130030125,61.863036130030125,65.8690996993568,65.8690996993568,65.8690996993568
13,53.82191106638257,53.82191106638257,53.82191106638257,53.55826566596397,53.55826566596397,53.55826566596397,64.06258751936173,64.06258751936173,64.06258751936173,68.9271072843364,68.9271072843364,68.9271072843364,65.2947983894336,65.2947983894336,65.2947983894336,61.536803227391715,61.536803227391715,61.536803227391715,59.477034706485256,59.477034706485256,59.477034706485256,83.71835691074851,83.71835691074851,83.71835691074851,58.162487552923835,58.162487552923835,58.162487552923835,63.601736765786,63.601736765786,63.601736765786
14,57.82155265895945,57.82155265895945,57.82155265895945,55.934383237568206,55.934383237568206,55.934383237568206,63.49172670914847,63.49172670914847,63.49172670914847,61.06043463691865,61.06043463691865,61.06043463691865,65.42163237196372,65.42163237196372,65.42163237196372,56.21339782270973,56.21339782270973,56.21339782270973,54.4984292259803,54.4984292259803,54.4984292259803,54.82667256537442,54.82667256537442,54.82667256537442,85.33462686237134,85.33462686237134,85.33462686237134,57.64724340851248,57.64724340851248,57.64724340851248
15,57.8253151578909,57.8253151578909,57.8253151578909,56.63692836962292,56.63692836962292,56.63692836962292,55.13734211298522,55.13734211298522,55.13734211298522,57.233632178708056,57.233632178708056,57.233632178708056,56.276512929835064,56.276512929835064,56.276512929835064,53.700196160227975,53.700196160227975,53.700196160227975,58.21797895735032,58.21797895735032,58.21797895735032,56.68421248002568,56.68421248002568,56.68421248002568,59.400685013120146,59.400685013120146,59.400685013120146,59.84281751915262,59.84281751915262,59.84281751915262
16,58.68690266899642,58.68690266899642,58.68690266899642,63.87905768325511,63.87905768325511,63.87905768325511,58.025354433776606,58.025354433776606,58.025354433776606,73.10633973553333,73.10633973553333,73.10633973553333,56.184344877252705,56.184344877252705,56.184344877252705,53.54420186810944,53.54420186810944,53.54420186810944,64.42343803298135,64.42343803298135,64.42343803298135,54.019389860766616,54.019389860766616,54.019389860766616,56.91327142016455,56.91327142016455,56.91327142016455,54.07500066737751,54.07500066737751,54.07500066737751
17,54.440795220140714,54.440795220140714,54.440795220140714,57.0042495503743,57.0042495503743,57.0042495503743,58.24117005800928,58.24117005800928,58.24117005800928,61.5225011311784,61.5225011311784,61.5225011311784,58.85607245874964,58.85607245874964,58.85607245874964,58.35230446643851,58.35230446643851,58.35230446643851,55.13867679486522,55.13867679486522,55.13867679486522,54.49278007776265,54.49278007776265,54.49278007776265,54.88918741557201,54.88918741557201,54.88918741557201,83.7902284101668,83.7902284101668,83.7902284101668
18,58.495850934198366,58.495850934198366,58.495850934198366,53.50585503916895,53.50585503916895,53.50585503916895,54.18119512844711,54.18119512844711,54.18119512844711,60.731866555615554,60.731866555615554,60.731866555615554,62.50202984026092,62.50202984026092,62.50202984026092,56.94549778600688,56.94549778600688,56.94549778600688,58.57618181149242,58.57618181149242,58.57618181149242,56.33983706152263,56.33983706152263,56.33983706152263,52.53830917056178,52.53830917056178,52.53830917056178,60.0632428621542,60.0632428621542,60.0632428621542
19,54.64720355285709,54.64720355285709,54.64720355285709,57.465973377890194,57.465973377890194,57.465973377890194,64.67416208694596,64.67416208694596,64.67416208694596,57.090632259179245,57.090632259179245,57.090632259179245,58.79429559941603,58.79429559941603,58.79429559941603,54.9556536019805,54.9556536019805,54.9556536019805,61.17202152638635,61.17202152638635,61.17202152638635,56.7554559407218,56.7554559407218,56.7554559407218,51.16426715041578,51.16426715041578,51.16426715041578,55.068020524477156,55.068020524477156,55.068020524477156
20,59.54456671162215,59.54456671162215,59.54456671162215,58.54682394181962,58.54682394181962,58.54682394181962,57.51206658376633,57.51206658376633,57.51206658376633,55.61924892658567,55.61924892658567,55.61924892658567,78.30873306998693,78.30873306998693,78.30873306998693,52.845576375678704,52.845576375678704,52.845576375678704,53.86917158661308,53.86917158661308,53.86917158661308,56.521357432327726,56.521357432327726,56.521357432327726,56.54681463099338,56.54681463099338,56.54681463099338,59.72026819593516,59.72026819593516,59.72026819593516
21,58.17110233974452,58.17110233974452,58.17110233974452,58.69048243735264,58.69048243735264,58.69048243735264,53.80051972566627,53.80051972566627,53.80051972566627,55.836951831681475,55.836951831681475,55.836951831681475,59.851944701664124,59.851944701664124,59.851944701664124,52.407526981549324,52.407526981549324,52.407526981549324,53.37986543804125,53.37986543804125,53.37986543804125,56.61506752725472,56.61506752725472,56.61506752725472,55.888743897795045,55.888743897795045,55.888743897795045,62.81534189084636,62.81534189084636,62.81534189084636
22,53.31049200835068,53.31049200835068,53.31049200835068,53.563131785041946,53.563131785041946,53.563131785041946,57.86019055941189,57.86019055941189,57.86019055941189,63.200429347137245,63.200429347137245,63.200429347137245,56.68108020806564,56.68108020806564,56.68108020806564,56.070463176337576,56.070463176337576,56.070463176337576,51.4727415890582,51.4727415890582,51.4727415890582,61.36392861377453,61.36392861377453,61.36392861377453,73.8089444652966,73.8089444652966,73.8089444652966,51.40773938949175,51.40773938949175,51.40773938949175
