Step,fresh-terrain-10 - FID Score,fresh-terrain-10 - FID Score__MIN,fresh-terrain-10 - FID Score__MAX,neat-durian-9 - FID Score,neat-durian-9 - FID Score__MIN,neat-durian-9 - FID Score__MAX,iconic-sun-8 - FID Score,iconic-sun-8 - FID Score__MIN,iconic-sun-8 - FID Score__MAX,fine-totem-7 - FID Score,fine-totem-7 - FID Score__MIN,fine-totem-7 - FID Score__MAX,bright-dawn-6 - FID Score,bright-dawn-6 - FID Score__MIN,bright-dawn-6 - FID Score__MAX,lively-sea-5 - FID Score,lively-sea-5 - FID Score__MIN,lively-sea-5 - FID Score__MAX,denim-music-4 - FID Score,denim-music-4 - FID Score__MIN,denim-music-4 - FID Score__MAX,icy-moon-3 - FID Score,icy-moon-3 - FID Score__MIN,icy-moon-3 - FID Score__MAX,prime-fog-2 - FID Score,prime-fog-2 - FID Score__MIN,prime-fog-2 - FID Score__MAX,restful-sun-1 - FID Score,restful-sun-1 - FID Score__MIN,restful-sun-1 - FID Score__MAX
0,109.10538869317222,109.10538869317222,109.10538869317222,198.73626066760824,198.73626066760824,198.73626066760824,221.72801857445418,221.72801857445418,221.72801857445418,230.91772270386338,230.91772270386338,230.91772270386338,136.7736529090391,136.7736529090391,136.7736529090391,190.94986993854621,190.94986993854621,190.94986993854621,240.88032197276814,240.88032197276814,240.88032197276814,159.5686217266804,159.5686217266804,159.5686217266804,201.8503889044001,201.8503889044001,201.8503889044001,169.64433686491097,169.64433686491097,169.64433686491097
1,70.7204898834666,70.7204898834666,70.7204898834666,135.05862481450004,135.05862481450004,135.05862481450004,168.74747137765507,168.74747137765507,168.74747137765507,248.0678275849958,248.0678275849958,248.0678275849958,102.3506553731274,102.3506553731274,102.3506553731274,126.0055816095831,126.0055816095831,126.0055816095831,163.79492602477967,163.79492602477967,163.79492602477967,113.76900106744361,113.76900106744361,113.76900106744361,198.72843203361455,198.72843203361455,198.72843203361455,100.54652962790945,100.54652962790945,100.54652962790945
2,63.64881507012224,63.64881507012224,63.64881507012224,102.1723032206474,102.1723032206474,102.1723032206474,213.28162717292355,213.28162717292355,213.28162717292355,140.02789257698288,140.02789257698288,140.02789257698288,79.89721394277876,79.89721394277876,79.89721394277876,99.94009450545803,99.94009450545803,99.94009450545803,117.75252335717241,117.75252335717241,117.75252335717241,80.09498492275911,80.09498492275911,80.09498492275911,111.23511594983908,111.23511594983908,111.23511594983908,80.43882564913095,80.43882564913095,80.43882564913095
3,66.18863269560518,66.18863269560518,66.18863269560518,93.5282805293532,93.5282805293532,93.5282805293532,196.4861295654736,196.4861295654736,196.4861295654736,150.2658403338724,150.2658403338724,150.2658403338724,76.29700721704111,76.29700721704111,76.29700721704111,101.92633238506775,101.92633238506775,101.92633238506775,112.19945759103763,112.19945759103763,112.19945759103763,78.31815543634177,78.31815543634177,78.31815543634177,180.18917025979886,180.18917025979886,180.18917025979886,77.08567631255735,77.08567631255735,77.08567631255735
4,67.39528452981375,67.39528452981375,67.39528452981375,89.25283258276176,89.25283258276176,89.25283258276176,153.17611588264057,153.17611588264057,153.17611588264057,141.8937560546442,141.8937560546442,141.8937560546442,73.55420697238725,73.55420697238725,73.55420697238725,98.54629380934466,98.54629380934466,98.54629380934466,98.66485313722555,98.66485313722555,98.66485313722555,99.9972312314555,99.9972312314555,99.9972312314555,157.84312291638224,157.84312291638224,157.84312291638224,62.82087340712699,62.82087340712699,62.82087340712699
5,63.47686137468264,63.47686137468264,63.47686137468264,76.02589230851916,76.02589230851916,76.02589230851916,202.30470643113767,202.30470643113767,202.30470643113767,151.09705034490867,151.09705034490867,151.09705034490867,72.86711315651311,72.86711315651311,72.86711315651311,101.5071650247574,101.5071650247574,101.5071650247574,98.61903754735187,98.61903754735187,98.61903754735187,121.68539160735023,121.68539160735023,121.68539160735023,101.26567669326523,101.26567669326523,101.26567669326523,65.66421795872306,65.66421795872306,65.66421795872306
6,65.56186975453261,65.56186975453261,65.56186975453261,88.93566547073765,88.93566547073765,88.93566547073765,157.7278033131493,157.7278033131493,157.7278033131493,123.52530619001888,123.52530619001888,123.52530619001888,76.25123900546748,76.25123900546748,76.25123900546748,95.48534132634968,95.48534132634968,95.48534132634968,83.55962256414448,83.55962256414448,83.55962256414448,102.58695980678047,102.58695980678047,102.58695980678047,173.6041188535766,173.6041188535766,173.6041188535766,63.807251579909604,63.807251579909604,63.807251579909604
7,68.31748508289559,68.31748508289559,68.31748508289559,76.5228889012562,76.5228889012562,76.5228889012562,154.8774013738751,154.8774013738751,154.8774013738751,113.92349203642041,113.92349203642041,113.92349203642041,69.61637790633401,69.61637790633401,69.61637790633401,79.50736339810226,79.50736339810226,79.50736339810226,72.24517302154752,72.24517302154752,72.24517302154752,69.92305515037741,69.92305515037741,69.92305515037741,132.65759741254575,132.65759741254575,132.65759741254575,57.97278515150509,57.97278515150509,57.97278515150509
8,75.4722644719034,75.4722644719034,75.4722644719034,90.9530256986456,90.9530256986456,90.9530256986456,159.1899364680113,159.1899364680113,159.1899364680113,123.19687989443857,123.19687989443857,123.19687989443857,66.80700209444419,66.80700209444419,66.80700209444419,93.77837645707493,93.77837645707493,93.77837645707493,73.12214974711996,73.12214974711996,73.12214974711996,108.31971100427917,108.31971100427917,108.31971100427917,106.96450290245777,106.96450290245777,106.96450290245777,60.227348818394816,60.227348818394816,60.227348818394816
9,76.24969657867561,76.24969657867561,76.24969657867561,104.48463249522342,104.48463249522342,104.48463249522342,198.46108136636263,198.46108136636263,198.46108136636263,126.44103127858952,126.44103127858952,126.44103127858952,69.12618874993109,69.12618874993109,69.12618874993109,103.0343687100995,103.0343687100995,103.0343687100995,67.60580655045962,67.60580655045962,67.60580655045962,88.61913526402445,88.61913526402445,88.61913526402445,135.26072488126619,135.26072488126619,135.26072488126619,58.04162366332626,58.04162366332626,58.04162366332626
