Step,hardy-spaceship-13 - FID Score,hardy-spaceship-13 - FID Score__MIN,hardy-spaceship-13 - FID Score__MAX,legendary-music-12 - FID Score,legendary-music-12 - FID Score__MIN,legendary-music-12 - FID Score__MAX,ancient-galaxy-11 - FID Score,ancient-galaxy-11 - FID Score__MIN,ancient-galaxy-11 - FID Score__MAX,fancy-energy-10 - FID Score,fancy-energy-10 - FID Score__MIN,fancy-energy-10 - FID Score__MAX,genial-feather-9 - FID Score,genial-feather-9 - FID Score__MIN,genial-feather-9 - FID Score__MAX,stellar-wildflower-8 - FID Score,stellar-wildflower-8 - FID Score__MIN,stellar-wildflower-8 - FID Score__MAX,polished-fire-7 - FID Score,polished-fire-7 - FID Score__MIN,polished-fire-7 - FID Score__MAX,deep-cherry-5 - FID Score,deep-cherry-5 - FID Score__MIN,deep-cherry-5 - FID Score__MAX,electric-snowflake-4 - FID Score,electric-snowflake-4 - FID Score__MIN,electric-snowflake-4 - FID Score__MAX,charmed-surf-3 - FID Score,charmed-surf-3 - FID Score__MIN,charmed-surf-3 - FID Score__MAX
0,510.9765593193372,510.9765593193372,510.9765593193372,523.0092404267023,523.0092404267023,523.0092404267023,472.6612573669951,472.6612573669951,472.6612573669951,486.6479923756619,486.6479923756619,486.6479923756619,581.7795474625367,581.7795474625367,581.7795474625367,500.83093305346017,500.83093305346017,500.83093305346017,492.16049777692984,492.16049777692984,492.16049777692984,497.08703361255147,497.08703361255147,497.08703361255147,526.6866075230945,526.6866075230945,526.6866075230945,479.2672392508217,479.2672392508217,479.2672392508217
1,516.8477668840436,516.8477668840436,516.8477668840436,471.87481012258854,471.87481012258854,471.87481012258854,470.43670862598503,470.43670862598503,470.43670862598503,479.88651636368377,479.88651636368377,479.88651636368377,527.2751273776302,527.2751273776302,527.2751273776302,564.5265334336348,564.5265334336348,564.5265334336348,447.0402775914996,447.0402775914996,447.0402775914996,471.11233518953867,471.11233518953867,471.11233518953867,456.58464959414397,456.58464959414397,456.58464959414397,473.5367911784717,473.5367911784717,473.5367911784717
2,448.9150764351863,448.9150764351863,448.9150764351863,444.6321028902575,444.6321028902575,444.6321028902575,511.14272516910063,511.14272516910063,511.14272516910063,485.30759187213084,485.30759187213084,485.30759187213084,459.3354978558849,459.3354978558849,459.3354978558849,512.8692154951601,512.8692154951601,512.8692154951601,480.282399265333,480.282399265333,480.282399265333,445.8309624262096,445.8309624262096,445.8309624262096,482.3964138739333,482.3964138739333,482.3964138739333,449.98016554296737,449.98016554296737,449.98016554296737
3,416.53247435251455,416.53247435251455,416.53247435251455,409.3421765088474,409.3421765088474,409.3421765088474,476.2774098134844,476.2774098134844,476.2774098134844,428.1385274409299,428.1385274409299,428.1385274409299,448.89357061813627,448.89357061813627,448.89357061813627,452.4548312443459,452.4548312443459,452.4548312443459,445.662617935825,445.662617935825,445.662617935825,220.49383640883633,220.49383640883633,220.49383640883633,420.29342946745066,420.29342946745066,420.29342946745066,415.5019296079141,415.5019296079141,415.5019296079141
4,421.98662040370016,421.98662040370016,421.98662040370016,421.3206453157447,421.3206453157447,421.3206453157447,57.76126992255114,57.76126992255114,57.76126992255114,65.26993517297456,65.26993517297456,65.26993517297456,66.1761383705954,66.1761383705954,66.1761383705954,520.8275981103903,520.8275981103903,520.8275981103903,443.5676126959724,443.5676126959724,443.5676126959724,80.53713257483608,80.53713257483608,80.53713257483608,47.32459508484716,47.32459508484716,47.32459508484716,44.894248405176,44.894248405176,44.894248405176
5,60.308611216837015,60.308611216837015,60.308611216837015,49.06392439282097,49.06392439282097,49.06392439282097,49.70289818022082,49.70289818022082,49.70289818022082,41.74736510363493,41.74736510363493,41.74736510363493,36.237437752899055,36.237437752899055,36.237437752899055,447.75269988984337,447.75269988984337,447.75269988984337,53.58862927558911,53.58862927558911,53.58862927558911,56.03045695571922,56.03045695571922,56.03045695571922,40.27345480287984,40.27345480287984,40.27345480287984,50.503712578700316,50.503712578700316,50.503712578700316
6,54.51504647230135,54.51504647230135,54.51504647230135,321.3033547638985,321.3033547638985,321.3033547638985,56.582687372191714,56.582687372191714,56.582687372191714,31.596103306574154,31.596103306574154,31.596103306574154,45.690815921189404,45.690815921189404,45.690815921189404,67.87047923564924,67.87047923564924,67.87047923564924,39.16863911481454,39.16863911481454,39.16863911481454,50.87341068419113,50.87341068419113,50.87341068419113,37.63638476904302,37.63638476904302,37.63638476904302,69.58454543213354,69.58454543213354,69.58454543213354
7,45.46289798627053,45.46289798627053,45.46289798627053,36.3799885452532,36.3799885452532,36.3799885452532,40.38959841765899,40.38959841765899,40.38959841765899,35.973747989161026,35.973747989161026,35.973747989161026,30.245663854532665,30.245663854532665,30.245663854532665,41.889594356283524,41.889594356283524,41.889594356283524,39.21761907661561,39.21761907661561,39.21761907661561,52.919219929785854,52.919219929785854,52.919219929785854,31.77259286538369,31.77259286538369,31.77259286538369,40.379230966391574,40.379230966391574,40.379230966391574
8,44.151872844393964,44.151872844393964,44.151872844393964,28.395559417227503,28.395559417227503,28.395559417227503,39.55459300227806,39.55459300227806,39.55459300227806,203.92363744435352,203.92363744435352,203.92363744435352,264.0057189960791,264.0057189960791,264.0057189960791,149.93395223978536,149.93395223978536,149.93395223978536,37.202162226686234,37.202162226686234,37.202162226686234,49.9173221800216,49.9173221800216,49.9173221800216,251.97440801705574,251.97440801705574,251.97440801705574,36.95382395931029,36.95382395931029,36.95382395931029
9,464.5235315861636,464.5235315861636,464.5235315861636,433.6304652867859,433.6304652867859,433.6304652867859,45.71046117443241,45.71046117443241,45.71046117443241,115.4421332683469,115.4421332683469,115.4421332683469,28.63499210448378,28.63499210448378,28.63499210448378,32.59645711344368,32.59645711344368,32.59645711344368,454.0288582213344,454.0288582213344,454.0288582213344,42.27949692665407,42.27949692665407,42.27949692665407,34.93469175261748,34.93469175261748,34.93469175261748,29.145343449646454,29.145343449646454,29.145343449646454
