Step,crisp-monkey-10 - FID Score,crisp-monkey-10 - FID Score__MIN,crisp-monkey-10 - FID Score__MAX,ethereal-firefly-9 - FID Score,ethereal-firefly-9 - FID Score__MIN,ethereal-firefly-9 - FID Score__MAX,smart-river-8 - FID Score,smart-river-8 - FID Score__MIN,smart-river-8 - FID Score__MAX,charmed-snow-7 - FID Score,charmed-snow-7 - FID Score__MIN,charmed-snow-7 - FID Score__MAX,iconic-rain-6 - FID Score,iconic-rain-6 - FID Score__MIN,iconic-rain-6 - FID Score__MAX,leafy-smoke-5 - FID Score,leafy-smoke-5 - FID Score__MIN,leafy-smoke-5 - FID Score__MAX,youthful-firefly-4 - FID Score,youthful-firefly-4 - FID Score__MIN,youthful-firefly-4 - FID Score__MAX,expert-haze-3 - FID Score,expert-haze-3 - FID Score__MIN,expert-haze-3 - FID Score__MAX,desert-disco-2 - FID Score,desert-disco-2 - FID Score__MIN,desert-disco-2 - FID Score__MAX,charmed-blaze-1 - FID Score,charmed-blaze-1 - FID Score__MIN,charmed-blaze-1 - FID Score__MAX
10,79.36676815067216,79.36676815067216,79.36676815067216,80.99125651876405,80.99125651876405,80.99125651876405,82.29194118744535,82.29194118744535,82.29194118744535,83.81733916169993,83.81733916169993,83.81733916169993,84.62408004511873,84.62408004511873,84.62408004511873,80.57431009664845,80.57431009664845,80.57431009664845,79.57454006012658,79.57454006012658,79.57454006012658,82.2033002619611,82.2033002619611,82.2033002619611,84.72853681082064,84.72853681082064,84.72853681082064,79.54059040120514,79.54059040120514,79.54059040120514
11,78.15804691904327,78.15804691904327,78.15804691904327,77.73173875556174,77.73173875556174,77.73173875556174,76.6851433943697,76.6851433943697,76.6851433943697,77.3105328261705,77.3105328261705,77.3105328261705,77.41336652730547,77.41336652730547,77.41336652730547,80.06784737559096,80.06784737559096,80.06784737559096,82.24900773183967,82.24900773183967,82.24900773183967,80.02419079094363,80.02419079094363,80.02419079094363,82.08523563561006,82.08523563561006,82.08523563561006,79.9537296590758,79.9537296590758,79.9537296590758
12,81.03458397894403,81.03458397894403,81.03458397894403,77.71569202921381,77.71569202921381,77.71569202921381,77.96831265464414,77.96831265464414,77.96831265464414,81.41058233053008,81.41058233053008,81.41058233053008,81.42982822796696,81.42982822796696,81.42982822796696,76.78736598839055,76.78736598839055,76.78736598839055,76.52855112478068,76.52855112478068,76.52855112478068,78.28456084162991,78.28456084162991,78.28456084162991,78.75825289362251,78.75825289362251,78.75825289362251,76.08688932586332,76.08688932586332,76.08688932586332
13,77.69000535953256,77.69000535953256,77.69000535953256,77.25863067157155,77.25863067157155,77.25863067157155,78.21607770352941,78.21607770352941,78.21607770352941,78.22698554241649,78.22698554241649,78.22698554241649,80.64666169784734,80.64666169784734,80.64666169784734,74.96784572017947,74.96784572017947,74.96784572017947,79.53200708429247,79.53200708429247,79.53200708429247,77.59231478936115,77.59231478936115,77.59231478936115,80.16192664549095,80.16192664549095,80.16192664549095,75.32704137884417,75.32704137884417,75.32704137884417
14,79.22158724307968,79.22158724307968,79.22158724307968,79.33382597959265,79.33382597959265,79.33382597959265,77.45694961980938,77.45694961980938,77.45694961980938,83.84023015986924,83.84023015986924,83.84023015986924,84.8881861443879,84.8881861443879,84.8881861443879,76.53178453871058,76.53178453871058,76.53178453871058,77.19402669111358,77.19402669111358,77.19402669111358,78.45896983512964,78.45896983512964,78.45896983512964,80.27988954390844,80.27988954390844,80.27988954390844,77.16963137784506,77.16963137784506,77.16963137784506
15,80.91852640824526,80.91852640824526,80.91852640824526,83.13658613178418,83.13658613178418,83.13658613178418,76.01357593934239,76.01357593934239,76.01357593934239,77.76623793169,77.76623793169,77.76623793169,79.78365233658303,79.78365233658303,79.78365233658303,83.21823685634037,83.21823685634037,83.21823685634037,78.25895115314862,78.25895115314862,78.25895115314862,79.26757900631554,79.26757900631554,79.26757900631554,78.72368435785083,78.72368435785083,78.72368435785083,76.80180111325632,76.80180111325632,76.80180111325632
16,78.29207340073513,78.29207340073513,78.29207340073513,80.98454627421037,80.98454627421037,80.98454627421037,81.8621038814796,81.8621038814796,81.8621038814796,81.41576965204112,81.41576965204112,81.41576965204112,76.56479875637532,76.56479875637532,76.56479875637532,76.90504348721065,76.90504348721065,76.90504348721065,79.42634246589283,79.42634246589283,79.42634246589283,78.66185174705856,78.66185174705856,78.66185174705856,76.23059090744604,76.23059090744604,76.23059090744604,82.3062697124987,82.3062697124987,82.3062697124987
17,77.80861087960018,77.80861087960018,77.80861087960018,79.34591152704218,79.34591152704218,79.34591152704218,78.91506111526614,78.91506111526614,78.91506111526614,79.32357589436114,79.32357589436114,79.32357589436114,77.54360350078755,77.54360350078755,77.54360350078755,78.69273470685408,78.69273470685408,78.69273470685408,74.1826505960005,74.1826505960005,74.1826505960005,78.92583625999544,78.92583625999544,78.92583625999544,79.81753527665308,79.81753527665308,79.81753527665308,78.8534307724889,78.8534307724889,78.8534307724889
18,75.64623585065826,75.64623585065826,75.64623585065826,75.75595924574719,75.75595924574719,75.75595924574719,79.20754249544287,79.20754249544287,79.20754249544287,76.24739507628337,76.24739507628337,76.24739507628337,80.56944816815314,80.56944816815314,80.56944816815314,77.89229787968188,77.89229787968188,77.89229787968188,75.54398167103962,75.54398167103962,75.54398167103962,77.67632264955415,77.67632264955415,77.67632264955415,79.01285540013909,79.01285540013909,79.01285540013909,78.26651093701093,78.26651093701093,78.26651093701093
19,80.02062641687098,80.02062641687098,80.02062641687098,75.89393944247209,75.89393944247209,75.89393944247209,75.93936189807246,75.93936189807246,75.93936189807246,80.07185485952091,80.07185485952091,80.07185485952091,77.34216430728978,77.34216430728978,77.34216430728978,76.95159302325158,76.95159302325158,76.95159302325158,84.30252714861177,84.30252714861177,84.30252714861177,76.32329710609429,76.32329710609429,76.32329710609429,79.7696998969983,79.7696998969983,79.7696998969983,79.50790093218635,79.50790093218635,79.50790093218635
