Step,mild-valley-28 - FID Score,mild-valley-28 - FID Score__MIN,mild-valley-28 - FID Score__MAX,pretty-morning-27 - FID Score,pretty-morning-27 - FID Score__MIN,pretty-morning-27 - FID Score__MAX,lively-morning-26 - FID Score,lively-morning-26 - FID Score__MIN,lively-morning-26 - FID Score__MAX,drawn-moon-24 - FID Score,drawn-moon-24 - FID Score__MIN,drawn-moon-24 - FID Score__MAX,zesty-shape-25 - FID Score,zesty-shape-25 - FID Score__MIN,zesty-shape-25 - FID Score__MAX,royal-sponge-18 - FID Score,royal-sponge-18 - FID Score__MIN,royal-sponge-18 - FID Score__MAX,charmed-fire-17 - FID Score,charmed-fire-17 - FID Score__MIN,charmed-fire-17 - FID Score__MAX,silvery-snowflake-16 - FID Score,silvery-snowflake-16 - FID Score__MIN,silvery-snowflake-16 - FID Score__MAX,apricot-firefly-15 - FID Score,apricot-firefly-15 - FID Score__MIN,apricot-firefly-15 - FID Score__MAX,colorful-breeze-14 - FID Score,colorful-breeze-14 - FID Score__MIN,colorful-breeze-14 - FID Score__MAX
13,48.29575774279364,48.29575774279364,48.29575774279364,57.58302541936708,57.58302541936708,57.58302541936708,52.66862179014788,52.66862179014788,52.66862179014788,51.25725440641526,51.25725440641526,51.25725440641526,51.8108062819773,51.8108062819773,51.8108062819773,57.1295828899359,57.1295828899359,57.1295828899359,51.53731476903909,51.53731476903909,51.53731476903909,53.004303976471306,53.004303976471306,53.004303976471306,53.80203320571169,53.80203320571169,53.80203320571169,56.059155051814926,56.059155051814926,56.059155051814926
14,53.16132635923716,53.16132635923716,53.16132635923716,53.125389553920854,53.125389553920854,53.125389553920854,51.33835258155328,51.33835258155328,51.33835258155328,54.03047928008428,54.03047928008428,54.03047928008428,52.82072360820678,52.82072360820678,52.82072360820678,55.35075212837611,55.35075212837611,55.35075212837611,49.55220336358556,49.55220336358556,49.55220336358556,51.51982822776179,51.51982822776179,51.51982822776179,52.69915294106926,52.69915294106926,52.69915294106926,53.85922929015349,53.85922929015349,53.85922929015349
15,61.211951721126475,61.211951721126475,61.211951721126475,51.151099073232864,51.151099073232864,51.151099073232864,51.30409007177617,51.30409007177617,51.30409007177617,56.51444117282172,56.51444117282172,56.51444117282172,52.7169472502756,52.7169472502756,52.7169472502756,55.68185758352858,55.68185758352858,55.68185758352858,50.59512800537941,50.59512800537941,50.59512800537941,50.15357890533862,50.15357890533862,50.15357890533862,53.610509217761404,53.610509217761404,53.610509217761404,51.51019706660203,51.51019706660203,51.51019706660203
16,52.02519772728034,52.02519772728034,52.02519772728034,53.03907176287113,53.03907176287113,53.03907176287113,52.330638993366065,52.330638993366065,52.330638993366065,49.13145054263984,49.13145054263984,49.13145054263984,52.61350210503063,52.61350210503063,52.61350210503063,56.3743170405201,56.3743170405201,56.3743170405201,53.84329732102567,53.84329732102567,53.84329732102567,52.513079343684204,52.513079343684204,52.513079343684204,57.51579955621544,57.51579955621544,57.51579955621544,53.223064272250966,53.223064272250966,53.223064272250966
17,52.33773904770978,52.33773904770978,52.33773904770978,55.36887827564667,55.36887827564667,55.36887827564667,53.96927074476122,53.96927074476122,53.96927074476122,55.16242892536286,55.16242892536286,55.16242892536286,56.21267492622026,56.21267492622026,56.21267492622026,53.600567093989014,53.600567093989014,53.600567093989014,56.20472560879881,56.20472560879881,56.20472560879881,51.61575930929656,51.61575930929656,51.61575930929656,61.83009436286444,61.83009436286444,61.83009436286444,53.26491118677186,53.26491118677186,53.26491118677186
18,54.031984944380994,54.031984944380994,54.031984944380994,56.59224617849655,56.59224617849655,56.59224617849655,52.72036528997286,52.72036528997286,52.72036528997286,55.516905489418804,55.516905489418804,55.516905489418804,55.07988798110219,55.07988798110219,55.07988798110219,58.29799614927917,58.29799614927917,58.29799614927917,52.43947076803527,52.43947076803527,52.43947076803527,48.93358698892185,48.93358698892185,48.93358698892185,60.81306807217123,60.81306807217123,60.81306807217123,57.32853633991944,57.32853633991944,57.32853633991944
19,53.21075560254357,53.21075560254357,53.21075560254357,59.49911553108665,59.49911553108665,59.49911553108665,51.14553809553638,51.14553809553638,51.14553809553638,51.142243772270476,51.142243772270476,51.142243772270476,52.10007175525797,52.10007175525797,52.10007175525797,55.512888341836046,55.512888341836046,55.512888341836046,59.19765422839022,59.19765422839022,59.19765422839022,52.2268509652762,52.2268509652762,52.2268509652762,59.23343387620942,59.23343387620942,59.23343387620942,56.436157775131065,56.436157775131065,56.436157775131065
20,51.75244877635693,51.75244877635693,51.75244877635693,59.08386030814283,59.08386030814283,59.08386030814283,52.698083706038474,52.698083706038474,52.698083706038474,53.314725345315765,53.314725345315765,53.314725345315765,57.33540950572869,57.33540950572869,57.33540950572869,59.4636831386313,59.4636831386313,59.4636831386313,57.616188511006534,57.616188511006534,57.616188511006534,53.36134929631668,53.36134929631668,53.36134929631668,60.77032103546698,60.77032103546698,60.77032103546698,61.78098372573638,61.78098372573638,61.78098372573638
21,52.66858244466792,52.66858244466792,52.66858244466792,63.42824035214687,63.42824035214687,63.42824035214687,51.121393099625365,51.121393099625365,51.121393099625365,55.77658598474879,55.77658598474879,55.77658598474879,60.04331289978887,60.04331289978887,60.04331289978887,56.76049153469951,56.76049153469951,56.76049153469951,57.305540736549624,57.305540736549624,57.305540736549624,52.87957276352458,52.87957276352458,52.87957276352458,59.317097837282475,59.317097837282475,59.317097837282475,60.10857129207463,60.10857129207463,60.10857129207463
22,51.97103985030962,51.97103985030962,51.97103985030962,65.7364166130084,65.7364166130084,65.7364166130084,53.161511694603625,53.161511694603625,53.161511694603625,57.291258497041845,57.291258497041845,57.291258497041845,62.63203742153028,62.63203742153028,62.63203742153028,59.58373854452323,59.58373854452323,59.58373854452323,55.202093907090614,55.202093907090614,55.202093907090614,55.39706236084392,55.39706236084392,55.39706236084392,64.01404704476073,64.01404704476073,64.01404704476073,57.971213513840794,57.971213513840794,57.971213513840794
23,53.01075030827494,53.01075030827494,53.01075030827494,58.70356350052592,58.70356350052592,58.70356350052592,55.933581818198256,55.933581818198256,55.933581818198256,53.86344521251366,53.86344521251366,53.86344521251366,60.48966044743515,60.48966044743515,60.48966044743515,52.975370733604926,52.975370733604926,52.975370733604926,55.09941278853496,55.09941278853496,55.09941278853496,54.79733629774006,54.79733629774006,54.79733629774006,63.477020063152196,63.477020063152196,63.477020063152196,64.05932337057988,64.05932337057988,64.05932337057988
24,50.992897155190605,50.992897155190605,50.992897155190605,64.39090768839705,64.39090768839705,64.39090768839705,51.92941174192908,51.92941174192908,51.92941174192908,58.09244410822733,58.09244410822733,58.09244410822733,61.10271297818906,61.10271297818906,61.10271297818906,58.634235117678,58.634235117678,58.634235117678,56.96576072456269,56.96576072456269,56.96576072456269,58.199843810401326,58.199843810401326,58.199843810401326,62.54860076998315,62.54860076998315,62.54860076998315,57.17698266278383,57.17698266278383,57.17698266278383
25,56.6671365682874,56.6671365682874,56.6671365682874,57.817292856479874,57.817292856479874,57.817292856479874,55.053855654412324,55.053855654412324,55.053855654412324,57.26470490022618,57.26470490022618,57.26470490022618,63.558039651653274,63.558039651653274,63.558039651653274,54.6599022436786,54.6599022436786,54.6599022436786,58.604681470626986,58.604681470626986,58.604681470626986,62.124036296185736,62.124036296185736,62.124036296185736,60.10765911032681,60.10765911032681,60.10765911032681,63.15916104334161,63.15916104334161,63.15916104334161
26,58.064519575512946,58.064519575512946,58.064519575512946,61.16185676560844,61.16185676560844,61.16185676560844,54.09160987911035,54.09160987911035,54.09160987911035,54.65851975334836,54.65851975334836,54.65851975334836,63.98697318465052,63.98697318465052,63.98697318465052,54.687016474129884,54.687016474129884,54.687016474129884,58.12377185158317,58.12377185158317,58.12377185158317,60.24827918784196,60.24827918784196,60.24827918784196,67.66650088529829,67.66650088529829,67.66650088529829,63.42484270645906,63.42484270645906,63.42484270645906
27,58.651196847499676,58.651196847499676,58.651196847499676,60.36645075533623,60.36645075533623,60.36645075533623,51.473256079372234,51.473256079372234,51.473256079372234,56.49480057505028,56.49480057505028,56.49480057505028,63.1424161255052,63.1424161255052,63.1424161255052,56.922305757942375,56.922305757942375,56.922305757942375,57.809050807809335,57.809050807809335,57.809050807809335,62.42415555978015,62.42415555978015,62.42415555978015,62.50758062807391,62.50758062807391,62.50758062807391,62.87723197979058,62.87723197979058,62.87723197979058
28,56.21168036225171,56.21168036225171,56.21168036225171,58.09258205360846,58.09258205360846,58.09258205360846,52.3733538448208,52.3733538448208,52.3733538448208,58.14662921679496,58.14662921679496,58.14662921679496,63.730362363480154,63.730362363480154,63.730362363480154,58.6711648077318,58.6711648077318,58.6711648077318,56.23811581493406,56.23811581493406,56.23811581493406,63.59673917657632,63.59673917657632,63.59673917657632,61.31870488166417,61.31870488166417,61.31870488166417,58.01733105960029,58.01733105960029,58.01733105960029
29,53.54210135426851,53.54210135426851,53.54210135426851,56.98540213738224,56.98540213738224,56.98540213738224,54.47674509174932,54.47674509174932,54.47674509174932,57.872754287884234,57.872754287884234,57.872754287884234,63.223231410653455,63.223231410653455,63.223231410653455,60.702565989677964,60.702565989677964,60.702565989677964,61.82573133550318,61.82573133550318,61.82573133550318,61.54482703600516,61.54482703600516,61.54482703600516,69.27868282670977,69.27868282670977,69.27868282670977,63.86409698727918,63.86409698727918,63.86409698727918
30,59.895702963441934,59.895702963441934,59.895702963441934,56.06273591666893,56.06273591666893,56.06273591666893,55.230093342474056,55.230093342474056,55.230093342474056,57.14886142799242,57.14886142799242,57.14886142799242,56.55327869287204,56.55327869287204,56.55327869287204,51.72827325298371,51.72827325298371,51.72827325298371,57.887664602777306,57.887664602777306,57.887664602777306,59.46417333725524,59.46417333725524,59.46417333725524,63.55620456859647,63.55620456859647,63.55620456859647,64.6512655292393,64.6512655292393,64.6512655292393
31,59.00983336766184,59.00983336766184,59.00983336766184,55.172704391116376,55.172704391116376,55.172704391116376,57.151139133849,57.151139133849,57.151139133849,59.251841435637886,59.251841435637886,59.251841435637886,55.327518154065245,55.327518154065245,55.327518154065245,55.756132958262725,55.756132958262725,55.756132958262725,55.59614467214196,55.59614467214196,55.59614467214196,58.4912332218136,58.4912332218136,58.4912332218136,61.719053031045014,61.719053031045014,61.719053031045014,61.38962454481347,61.38962454481347,61.38962454481347
