Step,giddy-wind-27 - FID Score,giddy-wind-27 - FID Score__MIN,giddy-wind-27 - FID Score__MAX,spring-frost-26 - FID Score,spring-frost-26 - FID Score__MIN,spring-frost-26 - FID Score__MAX,absurd-sky-25 - FID Score,absurd-sky-25 - FID Score__MIN,absurd-sky-25 - FID Score__MAX,jolly-hill-24 - FID Score,jolly-hill-24 - FID Score__MIN,jolly-hill-24 - FID Score__MAX,blooming-deluge-23 - FID Score,blooming-deluge-23 - FID Score__MIN,blooming-deluge-23 - FID Score__MAX,magic-glade-22 - FID Score,magic-glade-22 - FID Score__MIN,magic-glade-22 - FID Score__MAX,devout-forest-21 - FID Score,devout-forest-21 - FID Score__MIN,devout-forest-21 - FID Score__MAX,clear-brook-20 - FID Score,clear-brook-20 - FID Score__MIN,clear-brook-20 - FID Score__MAX,easy-bird-19 - FID Score,easy-bird-19 - FID Score__MIN,easy-bird-19 - FID Score__MAX,wise-plasma-18 - FID Score,wise-plasma-18 - FID Score__MIN,wise-plasma-18 - FID Score__MAX
10,95.57379161615667,95.57379161615667,95.57379161615667,91.54954032814409,91.54954032814409,91.54954032814409,93.98687542954313,93.98687542954313,93.98687542954313,94.69446656093021,94.69446656093021,94.69446656093021,99.9840946993565,99.9840946993565,99.9840946993565,90.21566345976373,90.21566345976373,90.21566345976373,110.31323996179049,110.31323996179049,110.31323996179049,100.4582951365916,100.4582951365916,100.4582951365916,95.77063645377518,95.77063645377518,95.77063645377518,123.07115184511161,123.07115184511161,123.07115184511161
11,97.67144461109115,97.67144461109115,97.67144461109115,96.68079214152468,96.68079214152468,96.68079214152468,103.0144647567287,103.0144647567287,103.0144647567287,92.76603319118533,92.76603319118533,92.76603319118533,96.37415309270034,96.37415309270034,96.37415309270034,98.5188810648752,98.5188810648752,98.5188810648752,119.89464267482813,119.89464267482813,119.89464267482813,99.60762532442442,99.60762532442442,99.60762532442442,95.07604951880928,95.07604951880928,95.07604951880928,122.13725614465271,122.13725614465271,122.13725614465271
12,99.58449354834241,99.58449354834241,99.58449354834241,87.32183179943596,87.32183179943596,87.32183179943596,93.4998045139944,93.4998045139944,93.4998045139944,92.50231834585318,92.50231834585318,92.50231834585318,99.7043534633021,99.7043534633021,99.7043534633021,96.75788218234212,96.75788218234212,96.75788218234212,107.35667134825209,107.35667134825209,107.35667134825209,105.82747479514315,105.82747479514315,105.82747479514315,91.5181608151936,91.5181608151936,91.5181608151936,125.27855958989403,125.27855958989403,125.27855958989403
13,96.05931389556105,96.05931389556105,96.05931389556105,90.79098735060691,90.79098735060691,90.79098735060691,99.73574428776956,99.73574428776956,99.73574428776956,94.35815638891403,94.35815638891403,94.35815638891403,95.29629037992672,95.29629037992672,95.29629037992672,94.9468949493055,94.9468949493055,94.9468949493055,118.32461195431316,118.32461195431316,118.32461195431316,112.7368253919901,112.7368253919901,112.7368253919901,91.43891901618716,91.43891901618716,91.43891901618716,125.95118596841587,125.95118596841587,125.95118596841587
14,94.3111003078641,94.3111003078641,94.3111003078641,92.68957880234665,92.68957880234665,92.68957880234665,103.0051014213492,103.0051014213492,103.0051014213492,96.83827678219362,96.83827678219362,96.83827678219362,98.18484890600678,98.18484890600678,98.18484890600678,102.53585292931866,102.53585292931866,102.53585292931866,109.4699994774387,109.4699994774387,109.4699994774387,117.95084876773404,117.95084876773404,117.95084876773404,90.64648692687206,90.64648692687206,90.64648692687206,128.57580909104496,128.57580909104496,128.57580909104496
15,94.6521611433552,94.6521611433552,94.6521611433552,96.09473046348776,96.09473046348776,96.09473046348776,93.96308148108909,93.96308148108909,93.96308148108909,96.69737150218425,96.69737150218425,96.69737150218425,96.30503801130521,96.30503801130521,96.30503801130521,94.99989281343551,94.99989281343551,94.99989281343551,121.45895312408994,121.45895312408994,121.45895312408994,105.53687099370299,105.53687099370299,105.53687099370299,88.7786464530546,88.7786464530546,88.7786464530546,115.32298036832682,115.32298036832682,115.32298036832682
16,87.68380559111937,87.68380559111937,87.68380559111937,94.08821292034924,94.08821292034924,94.08821292034924,96.77165663607663,96.77165663607663,96.77165663607663,101.5153647305105,101.5153647305105,101.5153647305105,98.34898516931291,98.34898516931291,98.34898516931291,103.2264555265231,103.2264555265231,103.2264555265231,122.69368541580786,122.69368541580786,122.69368541580786,107.51322174938701,107.51322174938701,107.51322174938701,90.68115982904814,90.68115982904814,90.68115982904814,133.4900188956557,133.4900188956557,133.4900188956557
17,92.86581265145153,92.86581265145153,92.86581265145153,95.86391777568244,95.86391777568244,95.86391777568244,102.57057486739365,102.57057486739365,102.57057486739365,96.07398511064163,96.07398511064163,96.07398511064163,91.05426118152629,91.05426118152629,91.05426118152629,102.68350643217741,102.68350643217741,102.68350643217741,115.9273117744035,115.9273117744035,115.9273117744035,109.90235151474317,109.90235151474317,109.90235151474317,88.65905417840085,88.65905417840085,88.65905417840085,127.44718457558677,127.44718457558677,127.44718457558677
18,98.216586820831,98.216586820831,98.216586820831,97.33465751360393,97.33465751360393,97.33465751360393,97.21107633389153,97.21107633389153,97.21107633389153,94.85203990252239,94.85203990252239,94.85203990252239,95.4972630679364,95.4972630679364,95.4972630679364,96.99387471762493,96.99387471762493,96.99387471762493,110.85222472433199,110.85222472433199,110.85222472433199,104.80278537656264,104.80278537656264,104.80278537656264,89.02062781219666,89.02062781219666,89.02062781219666,120.50679613641955,120.50679613641955,120.50679613641955
19,92.35669987956274,92.35669987956274,92.35669987956274,101.87588455815917,101.87588455815917,101.87588455815917,104.21008297392655,104.21008297392655,104.21008297392655,96.43322414008057,96.43322414008057,96.43322414008057,91.52734000913455,91.52734000913455,91.52734000913455,104.71031831599863,104.71031831599863,104.71031831599863,133.035600947933,133.035600947933,133.035600947933,110.61318243825193,110.61318243825193,110.61318243825193,93.35528632502363,93.35528632502363,93.35528632502363,126.67890757212706,126.67890757212706,126.67890757212706
