Step,spring-planet-92 - FID Score,spring-planet-92 - FID Score__MIN,spring-planet-92 - FID Score__MAX,drawn-deluge-91 - FID Score,drawn-deluge-91 - FID Score__MIN,drawn-deluge-91 - FID Score__MAX,distinctive-snowflake-90 - FID Score,distinctive-snowflake-90 - FID Score__MIN,distinctive-snowflake-90 - FID Score__MAX,crimson-silence-89 - FID Score,crimson-silence-89 - FID Score__MIN,crimson-silence-89 - FID Score__MAX,golden-music-88 - FID Score,golden-music-88 - FID Score__MIN,golden-music-88 - FID Score__MAX,logical-leaf-87 - FID Score,logical-leaf-87 - FID Score__MIN,logical-leaf-87 - FID Score__MAX,dazzling-dew-86 - FID Score,dazzling-dew-86 - FID Score__MIN,dazzling-dew-86 - FID Score__MAX,azure-morning-85 - FID Score,azure-morning-85 - FID Score__MIN,azure-morning-85 - FID Score__MAX,polished-wood-84 - FID Score,polished-wood-84 - FID Score__MIN,polished-wood-84 - FID Score__MAX,efficient-snow-83 - FID Score,efficient-snow-83 - FID Score__MIN,efficient-snow-83 - FID Score__MAX
16,12.859370686394303,12.859370686394303,12.859370686394303,14.885948160433351,14.885948160433351,14.885948160433351,14.868739499031598,14.868739499031598,14.868739499031598,13.12099594087842,13.12099594087842,13.12099594087842,16.241381390454862,16.241381390454862,16.241381390454862,14.411398703836777,14.411398703836777,14.411398703836777,13.938586090756058,13.938586090756058,13.938586090756058,14.363882975135457,14.363882975135457,14.363882975135457,13.95978684020483,13.95978684020483,13.95978684020483,13.610676208300756,13.610676208300756,13.610676208300756
17,14.257409514356565,14.257409514356565,14.257409514356565,12.903345926134591,12.903345926134591,12.903345926134591,14.300884159949096,14.300884159949096,14.300884159949096,14.768308787940729,14.768308787940729,14.768308787940729,15.05812130697316,15.05812130697316,15.05812130697316,13.744910049207366,13.744910049207366,13.744910049207366,13.67008192212981,13.67008192212981,13.67008192212981,14.471388407490554,14.471388407490554,14.471388407490554,13.587811050721783,13.587811050721783,13.587811050721783,16.07770515062804,16.07770515062804,16.07770515062804
18,15.655746305912256,15.655746305912256,15.655746305912256,14.582150225557886,14.582150225557886,14.582150225557886,13.316967417526765,13.316967417526765,13.316967417526765,13.216625136771379,13.216625136771379,13.216625136771379,15.33696718222752,15.33696718222752,15.33696718222752,12.16402461796931,12.16402461796931,12.16402461796931,14.264345998441767,14.264345998441767,14.264345998441767,13.469078472677513,13.469078472677513,13.469078472677513,12.892401381926648,12.892401381926648,12.892401381926648,13.374872426119992,13.374872426119992,13.374872426119992
19,13.745120888680944,13.745120888680944,13.745120888680944,13.53472959541429,13.53472959541429,13.53472959541429,15.13877389543407,15.13877389543407,15.13877389543407,13.231833423436312,13.231833423436312,13.231833423436312,12.95146745803152,12.95146745803152,12.95146745803152,13.42296813954135,13.42296813954135,13.42296813954135,13.154324873268006,13.154324873268006,13.154324873268006,13.579191298306474,13.579191298306474,13.579191298306474,14.020233322235496,14.020233322235496,14.020233322235496,14.321926696079206,14.321926696079206,14.321926696079206
20,14.077495680005757,14.077495680005757,14.077495680005757,13.566516024872382,13.566516024872382,13.566516024872382,13.61985683888863,13.61985683888863,13.61985683888863,13.709327412570047,13.709327412570047,13.709327412570047,12.889617560357088,12.889617560357088,12.889617560357088,12.070550877380514,12.070550877380514,12.070550877380514,13.52469200370366,13.52469200370366,13.52469200370366,14.036999238720698,14.036999238720698,14.036999238720698,14.218738159722255,14.218738159722255,14.218738159722255,13.938292389938894,13.938292389938894,13.938292389938894
21,14.202111954883932,14.202111954883932,14.202111954883932,14.192039436057263,14.192039436057263,14.192039436057263,13.835662870136506,13.835662870136506,13.835662870136506,13.592461959080113,13.592461959080113,13.592461959080113,14.187729429354722,14.187729429354722,14.187729429354722,13.631784714574717,13.631784714574717,13.631784714574717,15.760070723495504,15.760070723495504,15.760070723495504,14.959698625117461,14.959698625117461,14.959698625117461,13.41090825991356,13.41090825991356,13.41090825991356,14.0492186151169,14.0492186151169,14.0492186151169
22,13.329324514253369,13.329324514253369,13.329324514253369,14.434253574869253,14.434253574869253,14.434253574869253,13.153702013805688,13.153702013805688,13.153702013805688,13.553433154421086,13.553433154421086,13.553433154421086,13.381129024367066,13.381129024367066,13.381129024367066,13.371472232977828,13.371472232977828,13.371472232977828,13.890938695080258,13.890938695080258,13.890938695080258,13.63023902891879,13.63023902891879,13.63023902891879,15.436719228584202,15.436719228584202,15.436719228584202,13.113708570253053,13.113708570253053,13.113708570253053
23,13.48980705531327,13.48980705531327,13.48980705531327,13.121731280873327,13.121731280873327,13.121731280873327,13.830586953499624,13.830586953499624,13.830586953499624,13.315364775988861,13.315364775988861,13.315364775988861,13.979584253942628,13.979584253942628,13.979584253942628,13.999916134476077,13.999916134476077,13.999916134476077,14.421631350740325,14.421631350740325,14.421631350740325,14.270776132620139,14.270776132620139,14.270776132620139,12.531818119960462,12.531818119960462,12.531818119960462,12.891228067998643,12.891228067998643,12.891228067998643
24,13.918755244052448,13.918755244052448,13.918755244052448,13.615994579239825,13.615994579239825,13.615994579239825,15.222858568722401,15.222858568722401,15.222858568722401,14.227682021648581,14.227682021648581,14.227682021648581,14.026266452168933,14.026266452168933,14.026266452168933,14.35317995656894,14.35317995656894,14.35317995656894,13.59580747780489,13.59580747780489,13.59580747780489,13.083592032409486,13.083592032409486,13.083592032409486,12.782014650013014,12.782014650013014,12.782014650013014,13.49423496691604,13.49423496691604,13.49423496691604
25,13.801582885752824,13.801582885752824,13.801582885752824,14.722132567467014,14.722132567467014,14.722132567467014,12.998809181257943,12.998809181257943,12.998809181257943,15.758801635852919,15.758801635852919,15.758801635852919,14.444871375298302,14.444871375298302,14.444871375298302,13.696269904911535,13.696269904911535,13.696269904911535,12.650456913019289,12.650456913019289,12.650456913019289,13.034402198265038,13.034402198265038,13.034402198265038,16.473246420608806,16.473246420608806,16.473246420608806,13.544274028530532,13.544274028530532,13.544274028530532
